INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
ID	RaceID	ModelFile	????Mesh	ShowName$1$	MaterialName	???¶¬???	???????ID	???????????	???????????(0???????ßµ??????????????1?????ß‘????????2????????????ß·????3???????ßµ??????????)	???????	??????	????ID
0	0	????????01.mesh		?????	????????01		20307101	1	2	PeiFang_5	50000	5
1	0	????????02.mesh		?????	????????02		20307102	1	3	PeiFang_5	50000	6
2	0	????????03.mesh		?????	????????03		20307103	1	2	PeiFang_5	50000	7
3	0	????????04.mesh		??????	????????04		20307104	1	2	PeiFang_5	50000	8
4	0	????????05.mesh		????	????????05		20307105	1	2	PeiFang_5	50000	9
5	1	?????????01.mesh		?????	?????????01		20307101	1	3	PeiFang_5	50000	0
6	1	?????????02.mesh		?????	?????????02		20307102	1	2	PeiFang_5	50000	1
7	1	?????????03.mesh		?????	?????????03		20307103	1	2	PeiFang_5	50000	2
8	1	?????????04.mesh		??????	?????????04		20307104	1	2	PeiFang_5	50000	3
9	1	?????????05.mesh		????	?????????05		20307105	1	2	PeiFang_5	50000	4
10	1	?????????06.mesh		????	?????????06		20307106	1	2	PeiFang_5	50000	15
11	1	?????????07.mesh		èŸ???	?????????07		20307107	1	2	PeiFang_5	50000	16
12	1	?????????08.mesh		?????	?????????08		20307108	1	3	PeiFang_5	50000	17
13	1	?????????09.mesh		??????	?????????09		20307109	1	2	PeiFang_5	50000	18
14	1	?????????14.mesh		??????	?????????14		20307110	1	3	PeiFang_5	50000	19
15	0	????????06.mesh		????	????????06		20307106	1	2	PeiFang_5	50000	10
16	0	????????07.mesh		èŸ???	????????07		20307107	1	2	PeiFang_5	50000	11
17	0	????????08.mesh		?????	????????08		20307108	1	3	PeiFang_5	50000	12
18	0	????????09.mesh		??????	????????09		20307109	1	2	PeiFang_5	50000	13
19	0	????????17.mesh		??????	????????17		20307110	1	3	PeiFang_5	50000	14
20	0	????????10.mesh		??æà	????????10		20307111	1	2	PeiFang_5	50000	30
21	0	W_hair_2025??????????01.mesh	W_hair01_2025??????????01.mesh	????????	W_hair_2025??????????01	W_hair01_2025??????????01	20307287	1	2	PeiFang_5	50000	263
22	0	????????12.mesh		?????	????????12		20307113	1	2	PeiFang_5	50000	32
23	0	????????13.mesh		?????	????????13		20307114	1	2	PeiFang_5	50000	33
24	0	????????14.mesh		?????	????????14		20307115	1	2	PeiFang_5	50000	34
25	0	????????15.mesh		?????	????????15		20307116	1	2	PeiFang_5	50000	35
26	0	????????16.mesh		????	????????16		20307117	1	2	PeiFang_5	50000	36
27	0	????????18.mesh		?????	????????18		20307118	1	2	PeiFang_5	50000	37
28	0	????????19.mesh		??????	????????19		20307119	1	2	PeiFang_5	50000	38
29	0	????????20.mesh		????	????????20		20307120	1	2	PeiFang_5	50000	39
30	1	?????????10.mesh		??æà	?????????10		20307111	1	2	PeiFang_5	50000	20
31	1	M_hair_2025??????????01.mesh	M_hair01_2025??????????01.mesh	????????	M_hair_2025??????????01	M_hair01_2025??????????01	20307287	1	2	PeiFang_5	50000	262
32	1	?????????12.mesh		?????	?????????12		20307113	1	2	PeiFang_5	50000	22
33	1	?????????13.mesh		?????	?????????13		20307114	1	2	PeiFang_5	50000	23
34	1	?????????15.mesh		?????	?????????15		20307115	1	2	PeiFang_5	50000	24
35	1	?????????16.mesh		?????	?????????16		20307116	1	2	PeiFang_5	50000	25
36	1	?????????17.mesh		????	?????????17		20307117	1	2	PeiFang_5	50000	26
37	1	?????????18.mesh		?????	?????????18		20307118	1	2	PeiFang_5	50000	27
38	1	?????????19.mesh		??????	?????????19		20307119	1	2	PeiFang_5	50000	28
39	1	?????????20.mesh		????	?????????20		20307120	1	2	PeiFang_5	50000	29
40	1	M_hair_2025?????????.mesh		???≥≤	M_hair_2025?????????		20307289	1	2	PeiFang_5	50000	272
41	0	????????22.mesh		??ßŸ?	????????22		20307122	1	2	PeiFang_5	50000	45
42	0	????????23.mesh		????	????????23		20307123	1	2	PeiFang_5	50000	46
43	0	????????24.mesh		?????	????????24		20307124	1	2	PeiFang_5	50000	47
44	0	W_hair_2025?????????.mesh	W_hair01_2025?????????.mesh	???≥≤	W_hair_2025?????????	W_hair01_2025?????????	20307289	1	2	PeiFang_5	50000	273
45	1	?????????22.mesh		??ßŸ?	?????????22		20307122	1	2	PeiFang_5	50000	41
