INT	INT	INT	STRING	INT	STRING
ID	FenYe	GroupIndex	GroupName	MonsterCount	MissionIDs
1	1	1	敦煌山	8	751
2	1	2	大理	9	752,753
3	1	3	地狱	7	754
4	1	4	大理	3	755
5	1	5	洱山	7	756
6	1	6	大理	6	757
7	1	7	大理	7	758
8	1	8	大理	9	759,760
9	1	9	洱泉	9	761,762
10	1	10	洱山	11	763,764
11	1	11	广北	10	765,834
12	1	12	大理	9	767,768
13	1	13	石蛟	8	769
14	1	14	草原	8	770
15	1	15	梅山	6	771
16	1	16	洱溪	8	772
17	1	17	大理	10	773,774
18	1	18	南海	6	775
19	1	19	洱海	7	776
20	1	20	河海	7	777
21	1	21	敦煌山	7	778
22	1	22	大理	6	779
23	1	23	洱海	7	780
24	1	24	大理蛟	7	781
25	2	1	洱海墓一层	2	782
26	2	2	洱海墓二层	2	783
27	2	3	洱海墓三层	2	784
28	2	4	洱海墓四层	2	785
29	2	5	洱海墓五层	2	786
30	2	6	山越精怪	6	787
31	2	7	洱泉蛟	6	788
32	2	8	摩崖洞	6	789
33	2	9	洱海	6	790
34	2	10	野人谷	6	791
35	2	11	洱源	8	792
36	2	12	洱海城	6	793
37	2	13	大理蛟	6	794
38	2	14	大理精怪	4	795
39	2	15	洱源山蛟	4	796
40	2	16	水晶湖	6	797
41	2	17	洱海洞	5	798
42	2	18	洱海源	6	799
43	2	19	大理蛟	6	800
44	2	20	大理雪原	6	801
45	2	21	大理蛟	5	802
46	2	22	洱沙海苦	6	803
47	2	23	雪海虎	5	804
48	3	1	洱海岛	6	805
49	3	2	圣洱山	2	806
50	3	3	大理蛟	3	807
51	3	4	洱眉	4	808
52	3	5	洱海	4	809
53	3	6	大理	4	810
54	3	7	大理	4	811
55	3	8	大理	4	812
56	3	9	洱山	4	813
57	3	10	洱当	4	814
58	3	11	洱遥	4	815
59	3	12	大理	4	816
60	3	13	洱海谷蛟	1	817
61	4	1	大理精怪	5	818
62	4	2	楼兰寻宝	5	819
63	4	3	大理精怪	2	820
64	4	4	大理精怪	11	821,822
65	4	5	楼兰精怪	13	823,824
66	4	6	洱海风	7	825
67	4	7	大理蛟	8	826
68	4	8	大理蛟小	2	827
69	4	9	十洱杀蛟	12	828,829
70	4	10	地狱蛟	3	830
71	4	11	野蛟精怪	7	831
72	4	12	天降精怪	3	832
73	4	13	洱海大蛟	5	833
