INT	INT	INT	INT	STRING	INT	INT
ID	FenYe	GroupIndex	MonsterIndex	Name	Num	MissionID
1	1	1	1	布尔善	1	751
2	1	1	2	大铁网	1	751
3	1	1	3	闪电豹	1	751
4	1	1	4	山蛛	1	751
5	1	1	5	大黄蜂	1	751
6	1	1	6	高山白猿	1	751
7	1	1	7	剪径小贼	1	751
8	1	1	8	芦苇草人	1	751
9	1	2	1	大脸	1	752
10	1	2	2	浮桥	1	752
11	1	2	3	舞空	1	752
12	1	2	4	修罗小鬼	1	752
13	1	2	5	蜀道白猿	1	752
14	1	2	6	鬼面侏儒	1	752
15	1	2	7	榆木傀儡	1	752
16	1	2	8	蜀道黑猿	1	752
17	1	2	9	白茅草人	1	753
18	1	3	1	李重贵	1	754
19	1	3	2	沙坡狼	5	754
20	1	3	3	残破兵佣	5	754
21	1	3	4	沙漠马匪	5	754
22	1	3	5	榆木傀儡	5	754
23	1	3	6	荒原豹	5	754
24	1	3	7	恶猿	5	754
25	1	4	1	混江龙	1	755
26	1	4	2	出洞蛟	1	755
27	1	4	3	翻江海蜃	1	755
28	1	5	1	门墩	1	756
29	1	5	2	铜轨	1	756
30	1	5	3	白额虎	5	756
31	1	5	4	遗弃铜人	5	756
32	1	5	5	卢崖铜人	5	756
33	1	5	6	遗弃木人	5	756
34	1	5	7	颍水狼	5	756
35	1	6	1	花港毒蜂	5	757
36	1	6	2	水鬼探子	5	757
37	1	6	3	断桥花妖	5	757
38	1	6	4	白堤柳鬼	5	757
39	1	6	5	归风庄庄客	5	757
40	1	6	6	龙井水贼	5	757
41	1	7	1	恶狼守卫	1	758
42	1	7	2	花斑豹	5	758
43	1	7	3	赤脚野人	5	758
44	1	7	4	狼族探子	5	758
45	1	7	5	风狼	5	758
46	1	7	6	狼族荆棘使	5	758
47	1	7	7	狼族战士	5	758
48	1	8	1	秦伯起	1	759
49	1	8	2	深水怪兽	1	759
50	1	8	3	西北狼	5	759
51	1	8	4	金钱豹	5	759
52	1	8	5	灰熊	5	759
53	1	8	6	秦家寨探子	5	759
54	1	8	7	秦家寨喽啰	5	759
55	1	8	8	秦家寨亲兵	5	760
56	1	8	9	骆奉仙	1	760
57	1	9	1	常归云	1	761
58	1	9	2	通天	1	761
59	1	9	3	归风剑魄	1	761
60	1	9	4	龙泉豹	5	761
61	1	9	5	拦路水鬼	5	762
62	1	9	6	纵火水鬼	5	762
63	1	9	7	凿船水鬼	5	762
64	1	9	8	归风庄剑师	5	762
65	1	9	9	水鬼刺客	5	762
66	1	10	1	玄击金刚	1	763
67	1	10	2	贝尔	1	763
68	1	10	3	迪亚	1	763
69	1	10	4	莫菲	1	763
70	1	10	5	长毛雪怪	5	763
71	1	10	6	蓑衣野人	5	764
72	1	10	7	雪狼	5	764
73	1	10	8	狼族勇士	5	764
74	1	10	9	狼族神汉	5	764
75	1	10	10	狼族土司	5	764
76	1	10	11	狼族头人	5	764
77	1	11	1	八爪怪兽	1	765
78	1	11	2	红铁爪	1	765
79	1	11	3	红寡妇	1	765
80	1	11	4	小胖	1	765
81	1	11	5	打草谷辽兵	5	765
82	1	11	6	红枫蜘蛛	5	834
83	1	11	7	红枫熊	5	834
84	1	11	8	秦家寨劫匪	5	834
85	1	11	9	秦家寨护卫	5	834
86	1	11	10	秦家寨教头	5	834
87	1	12	1	千年冰魄	1	767
88	1	12	2	山越游魂	1	767
89	1	12	3	含笑	1	767
90	1	12	4	深谷白猿	10	767
91	1	12	5	白花蜘蛛	10	768
92	1	12	6	山越战士	10	768
93	1	12	7	山越盗匪	10	768
94	1	12	8	树甲哨兵	10	768
95	1	12	9	山越刀客	10	768
96	1	13	1	阿支	1	769
97	1	13	2	花岗狮王	1	769
98	1	13	3	棕熊	10	769
99	1	13	4	狼蛛	10	769
100	1	13	5	花岗石狮	10	769
101	1	13	6	花岗石人	10	769
102	1	13	7	页岩石人	10	769
103	1	13	8	石人偃师	10	769
104	1	14	1	白冥启	1	770
105	1	14	2	端木元	1	770
106	1	14	3	草原狼	10	770
107	1	14	4	蒙古黑蜂	10	770
108	1	14	5	闪电马匪	10	770
109	1	14	6	追风马匪	10	770
110	1	14	7	弯刀马匪	10	770
111	1	14	8	打草谷宋兵	10	770
112	1	15	1	红袍蜘蛛	10	771
113	1	15	2	丛林野人	10	771
114	1	15	3	山越祭司	10	771
115	1	15	4	棚民	10	771
116	1	15	5	山越护法	10	771
117	1	15	6	流寇	10	771
118	1	16	1	热布巴拉	1	772
119	1	16	2	剧毒狼蛛	20	772
120	1	16	3	云母石人	20	772
121	1	16	4	龙血石人	20	772
122	1	16	5	女娲石人	20	772
123	1	16	6	偃师护法	20	772
124	1	16	7	大偃师	20	772
125	1	16	8	河妖	20	772
126	1	17	1	阿史那默谷	1	773
127	1	17	2	莽盖龙胜	1	773
128	1	17	3	莽盖萧允	1	773
129	1	17	4	莽盖李通	1	773
130	1	17	5	白狼王	20	774
