INT	INT	INT	INT	INT	INT
索引	元素1	元素2	元素3	元素4	元素5
1	9	2	106	6	542
2	11	2	122	7	624
3	13	2	138	8	706
4	15	3	154	9	788
5	17	3	170	10	870
6	19	3	186	11	952
7	21	4	202	12	1034
8	23	4	218	13	1116
9	25	4	234	14	1198
10	27	5	250	15	1280
11	30	5	277	16	1416
12	33	5	304	17	1552
13	36	6	331	18	1688
14	39	6	358	19	1824
15	42	6	385	20	1960
16	45	7	412	21	2096
17	48	7	439	22	2232
18	51	7	466	23	2368
19	54	8	493	24	2504
20	57	8	520	25	2640
21	60	8	558	27	2830
22	63	9	596	29	3020
23	66	9	634	31	3210
24	69	9	672	33	3400
25	72	10	710	35	3590
26	75	10	748	37	3780
27	78	10	786	39	3970
28	81	11	824	41	4160
29	84	11	862	43	4350
30	87	11	900	45	4540
31	91	12	943	47	4757
32	95	12	986	49	4974
33	99	12	1029	51	5191
34	103	13	1072	53	5408
35	107	13	1115	55	5625
36	111	13	1158	57	5842
37	115	14	1201	59	6059
38	119	14	1244	61	6276
39	123	14	1287	63	6493
40	127	15	1330	65	6710
41	132	15	1384	67	6981
42	137	15	1438	69	7252
43	142	16	1492	71	7523
44	147	16	1546	73	7794
45	152	17	1600	75	8065
46	157	17	1654	77	8336
47	162	18	1708	79	8607
48	167	18	1762	81	8878
49	172	19	1816	83	9149
50	177	19	1870	85	9420
51	182	20	1929	88	9718
52	187	20	1988	91	10016
53	192	21	2047	94	10314
54	197	21	2106	97	10612
55	202	22	2165	100	10910
56	207	22	2224	103	11208
57	212	23	2283	106	11506
58	217	23	2342	109	11804
59	222	24	2401	112	12102
60	227	24	2460	115	12400
61	232	25	2524	119	12725
62	237	25	2588	123	13050
63	242	26	2652	127	13375
64	247	26	2716	131	13700
65	252	27	2780	135	14025
66	257	27	2844	139	14350
67	262	28	2908	143	14675
68	267	28	2972	147	15000
69	272	29	3036	151	15325
70	277	29	3100	155	15650
71	283	30	3170	159	16002
72	289	30	3240	163	16354
73	295	31	3310	167	16706
74	301	32	3380	171	17058
75	307	33	3450	175	17410
76	313	34	3520	179	17762
77	319	35	3590	183	18114
78	325	36	3660	187	18466
79	331	37	3730	191	18818
80	337	38	3800	195	19170
81	343	39	3875	199	19549
82	349	40	3950	203	19928
83	355	41	4025	207	20307
84	361	42	4100	211	20686
85	367	43	4175	215	21065
86	373	44	4250	219	21444
87	379	45	4325	223	21823
88	385	46	4400	227	22202
89	391	47	4475	231	22581
90	397	48	4550	235	22960
91	404	49	4630	240	23366
92	411	50	4710	245	23772
93	418	51	4790	250	24178
94	425	52	4870	255	24584
95	432	53	4950	260	24990
96	439	54	5030	265	25396
97	446	55	5110	270	25802
98	453	56	5190	275	26208
99	460	57	5270	280	26614
100	467	58	5350	285	27020
