INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	装备点	强化等级	收取金钱	成功率	退化等级	外攻	内攻	外防	内防	命中	闪避	穿刺强化	穿刺防御
0	0	1	100	7500	0	10	10	10	10	10	10	2	0
1	0	2	115	6000	1	15	15	15	15	15	15	4	0
2	0	3	132	5000	2	21	21	21	21	21	21	6	0
3	0	4	151	4500	3	30	30	30	30	30	30	10	0
4	0	5	173	3500	4	44	44	44	44	44	44	14	0
5	0	6	199	3000	5	70	70	70	70	70	70	20	0
6	0	7	228	2000	6	93	93	93	93	93	93	26	0
7	0	8	261	1000	7	135	135	135	135	135	135	34	0
8	0	9	300	1000	8	195	195	195	195	195	195	42	0
9	0	10	344	10000	9	195	195	195	195	195	195	50	0
10	0	11	393	8000	10	195	195	195	195	195	195	58	0
11	0	12	447	7900	11	195	195	195	195	195	195	66	0
12	0	13	506	7800	12	195	195	195	195	195	195	74	0
13	0	14	570	7700	13	195	195	195	195	195	195	82	0
14	0	15	639	7600	14	195	195	195	195	195	195	90	0
15	0	16	713	7500	15	195	195	195	195	195	195	98	0
16	0	17	792	7400	16	195	195	195	195	195	195	106	0
17	0	18	876	7300	17	195	195	195	195	195	195	114	0
18	0	19	965	5500	18	195	195	195	195	195	195	122	0
19	0	20	1000	5400	19	195	195	195	195	195	195	130	0
20	0	21	1000	5300	20	195	195	195	195	195	195	140	0
21	0	22	1000	3000	21	195	195	195	195	195	195	150	0
22	0	23	1000	2000	22	195	195	195	195	195	195	160	0
23	0	24	1000	1900	23	195	195	195	195	195	195	170	0
24	0	25	1000	1600	24	195	195	195	195	195	195	180	0
25	0	26	1000	1500	25	195	195	195	195	195	195	190	0
26	0	27	1000	1400	26	195	195	195	195	195	195	200	0
27	0	28	1000	1300	27	195	195	195	195	195	195	210	0
28	0	29	1000	1100	28	195	195	195	195	195	195	220	0
29	0	30	1000	1000	29	195	195	195	195	195	195	230	0
30	0	31	1000	900	30	195	195	195	195	195	195	242	0
31	0	32	1000	800	31	195	195	195	195	195	195	254	0
32	0	33	1000	700	32	195	195	195	195	195	195	266	0
33	0	34	1000	500	33	195	195	195	195	195	195	278	0
34	0	35	1000	420	34	195	195	195	195	195	195	290	0
