INT	INT	INT
ID	等级	最大金钱
1	1	2100000000
2	2	2100000000
3	3	2100000000
4	4	2100000000
5	5	2100000000
6	6	2100000000
7	7	2100000000
8	8	2100000000
9	9	2100000000
10	10	2100000000
11	11	2100000000
12	12	2100000000
13	13	2100000000
14	14	2100000000
15	15	2100000000
16	16	2100000000
17	17	2100000000
18	18	2100000000
19	19	2100000000
20	20	2100000000
21	21	2100000000
22	22	2100000000
23	23	2100000000
24	24	2100000000
25	25	2100000000
26	26	2100000000
27	27	2100000000
28	28	2100000000
29	29	2100000000
30	30	2100000000
31	31	2100000000
32	32	2100000000
33	33	2100000000
34	34	2100000000
35	35	2100000000
36	36	2100000000
37	37	2100000000
38	38	2100000000
39	39	2100000000
40	40	2100000000
41	41	2100000000
42	42	2100000000
43	43	2100000000
44	44	2100000000
45	45	2100000000
46	46	2100000000
47	47	2100000000
48	48	2100000000
49	49	2100000000
50	50	2100000000
51	51	2100000000
52	52	2100000000
53	53	2100000000
54	54	2100000000
55	55	2100000000
56	56	2100000000
57	57	2100000000
58	58	2100000000
59	59	2100000000
60	60	2100000000
61	61	2100000000
62	62	2100000000
63	63	2100000000
64	64	2100000000
65	65	2100000000
66	66	2100000000
67	67	2100000000
68	68	2100000000
69	69	2100000000
70	70	2100000000
71	71	2100000000
72	72	2100000000
73	73	2100000000
74	74	2100000000
75	75	2100000000
76	76	2100000000
77	77	2100000000
78	78	2100000000
79	79	2100000000
80	80	2100000000
81	81	2100000000
82	82	2100000000
83	83	2100000000
84	84	2100000000
85	85	2100000000
86	86	2100000000
87	87	2100000000
88	88	2100000000
89	89	2100000000
90	90	2100000000
91	91	2100000000
92	92	2100000000
93	93	2100000000
94	94	2100000000
95	95	2100000000
96	96	2100000000
97	97	2100000000
98	98	2100000000
99	99	2100000000
100	100	2100000000
101	101	2100000000
102	102	2100000000
103	103	2100000000
104	104	2100000000
105	105	2100000000
106	106	2100000000
107	107	2100000000
108	108	2100000000
109	109	2100000000
110	110	2100000000
111	111	2100000000
112	112	2100000000
113	113	2100000000
114	114	2100000000
115	115	2100000000
116	116	2100000000
117	117	2100000000
118	118	2100000000
119	119	2100000000
120	120	2100000000
121	121	2100000000
122	122	2100000000
123	123	2100000000
124	124	2100000000
125	125	2100000000
126	126	2100000000
127	127	2100000000
128	128	2100000000
129	129	2100000000
130	130	2100000000
131	131	2100000000
132	132	2100000000
133	133	2100000000
134	134	2100000000
135	135	2100000000
136	136	2100000000
137	137	2100000000
138	138	2100000000
139	139	2100000000
140	140	2100000000
141	141	2100000000
142	142	2100000000
143	143	2100000000
144	144	2100000000
145	145	2100000000
146	146	2100000000
147	147	2100000000
148	148	2100000000
149	149	2100000000
150	150	2100000000
