INT	INT	INT	INT	INT	INT	STRING
C_TYPE	C_ITEM_ID	C_DATA_ID	C_PET_LV	C_MIN_LV	C_MAX_LV	C_NAMA
1	30309002	3009	1	0	0	ÕäÊÞµ°£ºÍÃ×Ó
1	30309003	3019	1	0	0	ÕäÊÞµ°£ºÑà×Ó
1	30309004	3029	1	0	0	ÕäÊÞµ°£ºÎÚ¹ê
1	30309005	3039	1	0	0	ÕäÊÞµ°£º¹·
1	30309006	3049	1	0	0	ÕäÊÞµ°£º´Ìâ¬
1	30309007	3059	1	0	0	ÕäÊÞµ°£ººï×Ó
1	30309008	3069	1	0	0	ÕäÊÞµ°£ºËÉÊó
1	30309009	3079	1	0	0	ÕäÊÞµ°£ºä½ÐÜ
1	30309010	3089	1	0	0	ÕäÊÞµ°£ºðÐðÄ
1	30309011	3099	1	0	0	ÕäÊÞµ°£ºòáòæ
1	30309012	3109	1	0	0	ÕäÊÞµ°£ºòùòð
1	30309013	3119	1	0	0	ÕäÊÞµ°£º´óó«òë
1	30309014	3129	1	0	0	ÕäÊÞµ°£ºöùÓã
1	30309015	3139	1	0	0	ÕäÊÞµ°£ºÃ¨Í·Ó¥
1	30309016	3149	1	0	0	ÕäÊÞµ°£ºâµ
1	30309017	3159	1	0	0	ÕäÊÞµ°£ºÀÏ»¢
1	30309018	3169	1	0	0	ÕäÊÞµ°£ºÒ°Öí
1	30309019	3179	1	0	0	ÕäÊÞµ°£º±ù²Ï
1	30309020	3189	1	0	0	ÕäÊÞµ°£ºÓ¥
1	30309021	3199	1	0	0	ÕäÊÞµ°£ºÍÒÄñ
1	30309022	3209	1	0	0	ÕäÊÞµ°£º±ª×Ó
1	30309023	3219	1	0	0	ÕäÊÞµ°£º±±¼«ÐÜ
1	30309024	3229	1	0	0	ÕäÊÞµ°£º¿×È¸
1	30309025	3239	1	0	0	ÕäÊÞµ°£º½£³Ý»¢
1	30309026	3249	1	0	0	ÕäÊÞµ°£º´óÐÉÐÉ
1	30309027	3259	1	0	0	ÕäÊÞµ°£ºÏ¬Å£
1	30309028	3269	1	0	0	ÕäÊÞµ°£ºÑ©õõ
1	30309029	3279	1	0	0	ÕäÊÞµ°£º½£Áú
1	30309030	3289	1	0	0	ÕäÊÞµ°£ºñ•Âí
1	30309031	3299	1	0	0	ÕäÊÞµ°£º»ÆÄñ
1	30309032	3309	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309033	3319	1	0	0	ÕäÊÞµ°£ºÁú¹ê
1	30309034	3329	1	0	0	ÕäÊÞµ°£ºÓ¢ÕÐ
1	30309035	3339	1	0	0	ÕäÊÞµ°£º÷è÷ë
1	30309036	3349	1	0	0	ÕäÊÞµ°£ºòÔÁú
1	30309037	3359	1	0	0	ÕäÊÞµ°£º²ñÃ¨
1	30309038	3369	1	0	0	ÕäÊÞµ°£º¼¦
1	30309039	3379	1	0	0	ÕäÊÞµ°£ºÑ¼×Ó
1	30309040	3389	1	0	0	ÕäÊÞµ°£ºÉ½Ñò
1	30309041	3399	1	0	0	ÕäÊÞµ°£ºÃ«Â¿
1	30309042	3409	1	0	0	ÕäÊÞµ°£º¶ì
1	30309043	3419	1	0	0	ÕäÊÞµ°£º°ÔÍõÁú
1	30309044	3429	1	0	0	ÕäÊÞµ°£ºÆó¶ì
1	30309045	3439	1	0	0	ÕäÊÞµ°£º´üÊó
1	30309046	3449	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309047	3459	1	0	0	ÕäÊÞµ°£ºÖí
1	30309048	3469	1	0	0	ÕäÊÞµ°£ºÇàÍÜ
1	30309049	3479	1	0	0	ÕäÊÞµ°£ºÐ¡Ïó
