INT	INT	INT
Ë÷Òý	´©´ÌÇ¿»¯	´©´Ì·ÀÓù
0	2	0
1	4	0
2	6	0
3	10	0
4	14	0
5	20	0
6	26	0
7	34	0
8	42	0
9	50	0
10	58	0
11	66	0
12	74	0
13	82	0
14	90	0
15	98	0
16	106	0
17	114	0
18	122	0
19	130	0
20	140	0
21	150	0
22	160	0
23	170	0
24	180	0
25	190	0
26	200	0
27	210	0
28	220	0
29	230	0
30	242	0
31	254	0
32	266	0
33	278	0
34	290	0
35	302	0
36	314	0
37	326	0
38	338	0
39	350	0
40	365	0
41	380	0
42	395	0
43	410	0
44	425	0
45	440	0
46	455	0
47	470	0
48	485	0
49	500	0
50	518	0
51	536	0
52	554	0
53	572	0
54	590	0
55	608	0
56	626	0
57	644	0
58	662	0
59	680	0
60	700	0
61	720	0
62	740	0
63	760	0
64	780	0
65	800	0
66	820	0
67	840	0
68	860	0
69	880	0
70	902	0
71	924	0
72	946	0
73	968	0
74	990	0
75	1012	0
76	1034	0
77	1056	0
78	1078	0
79	1100	0
80	1125	0
81	1150	0
82	1175	0
83	1200	0
84	1225	0
85	1250	0
86	1275	0
87	1300	0
88	1325	0
89	1350	0
90	1380	0
91	1410	0
92	1440	0
93	1470	0
94	1500	0
95	1530	0
96	1560	0
97	1590	0
98	1620	0
99	0	2
100	0	4
101	0	6
102	0	10
103	0	14
104	0	20
105	0	26
106	0	34
107	0	42
108	0	50
109	0	58
110	0	66
111	0	74
112	0	82
113	0	90
114	0	98
115	0	106
116	0	114
117	0	122
118	0	130
119	0	140
120	0	150
121	0	160
122	0	170
123	0	180
124	0	190
125	0	200
126	0	210
127	0	220
128	0	230
129	0	242
130	0	254
131	0	266
132	0	278
133	0	290
134	0	302
135	0	314
136	0	326
137	0	338
138	0	350
139	0	365
140	0	380
141	0	395
142	0	410
143	0	425
144	0	440
145	0	455
146	0	470
147	0	485
148	0	500
149	0	518
150	0	536
151	0	554
152	0	572
153	0	590
154	0	608
155	0	626
156	0	644
157	0	662
158	0	680
159	0	700
160	0	720
161	0	740
162	0	760
163	0	780
164	0	800
165	0	820
166	0	840
167	0	860
168	0	880
169	0	902
170	0	924
171	0	946
172	0	968
173	0	990
174	0	1012
175	0	1034
176	0	1056
177	0	1078
178	0	1100
179	0	1125
180	0	1150
181	0	1175
182	0	1200
183	0	1225
184	0	1250
185	0	1275
186	0	1300
187	0	1325
188	0	1350
189	0	1380
190	0	1410
191	0	1440
192	0	1470
193	0	1500
194	0	1530
195	0	1560
196	0	1590
197	0	1620
198	0	2
199	0	4
200	0	6
201	0	10
202	0	14
203	0	20
204	0	26
205	0	34
206	0	42
207	0	50
208	0	58
209	0	66
210	0	74
211	0	82
212	0	90
213	0	98
214	0	106
215	0	114
216	0	122
217	0	130
218	0	140
219	0	150
220	0	160
221	0	170
222	0	180
223	0	190
224	0	200
225	0	210
226	0	220
227	0	230
228	0	242
229	0	254
230	0	266
231	0	278
232	0	290
233	0	302
234	0	314
235	0	326
236	0	338
237	0	350
238	0	365
239	0	380
240	0	395
241	0	410
242	0	425
243	0	440
244	0	455
245	0	470
246	0	485
247	0	500
248	0	518
249	0	536
250	0	554
251	0	572
252	0	590
253	0	608
254	0	626
255	0	644
256	0	662
257	0	680
258	0	700
259	0	720
260	0	740
261	0	760
262	0	780
263	0	800
264	0	820
265	0	840
266	0	860
267	0	880
268	0	902
269	0	924
270	0	946
271	0	968
272	0	990
273	0	1012
274	0	1034
275	0	1056
276	0	1078
277	0	1100
278	0	1125
279	0	1150
280	0	1175
281	0	1200
282	0	1225
283	0	1250
284	0	1275
285	0	1300
286	0	1325
287	0	1350
288	0	1380
289	0	1410
290	0	1440
291	0	1470
292	0	1500
293	0	1530
294	0	1560
295	0	1590
296	0	1620
297	0	2
298	0	4
299	0	6
300	0	10
301	0	14
302	0	20
303	0	26
304	0	34
305	0	42
306	0	50
307	0	58
308	0	66
309	0	74
310	0	82
311	0	90
312	0	98
313	0	106
314	0	114
315	0	122
316	0	130
317	0	140
318	0	150
319	0	160
320	0	170
321	0	180
322	0	190
323	0	200
324	0	210
325	0	220
326	0	230
327	0	242
328	0	254
329	0	266
330	0	278
331	0	290
332	0	302
333	0	314
334	0	326
335	0	338
336	0	350
337	0	365
338	0	380
339	0	395
340	0	410
341	0	425
342	0	440
343	0	455
344	0	470
345	0	485
346	0	500
347	0	518
348	0	536
349	0	554
350	0	572
351	0	590
352	0	608
353	0	626
354	0	644
355	0	662
356	0	680
357	0	700
358	0	720
359	0	740
360	0	760
361	0	780
362	0	800
363	0	820
364	0	840
365	0	860
366	0	880
367	0	902
368	0	924
369	0	946
370	0	968
371	0	990
372	0	1012
373	0	1034
374	0	1056
375	0	1078
376	0	1100
377	0	1125
378	0	1150
379	0	1175
380	0	1200
381	0	1225
382	0	1250
383	0	1275
384	0	1300
385	0	1325
386	0	1350
387	0	1380
388	0	1410
389	0	1440
390	0	1470
391	0	1500
392	0	1530
393	0	1560
394	0	1590
395	0	1620
396	0	2
397	0	4
398	0	6
399	0	10
400	0	14
401	0	20
402	0	26
403	0	34
404	0	42
405	0	50
406	0	58
407	0	66
408	0	74
409	0	82
410	0	90
411	0	98
412	0	106
413	0	114
414	0	122
415	0	130
416	0	140
417	0	150
418	0	160
419	0	170
420	0	180
421	0	190
422	0	200
423	0	210
424	0	220
425	0	230
426	0	242
427	0	254
428	0	266
429	0	278
430	0	290
431	0	302
432	0	314
433	0	326
434	0	338
435	0	350
436	0	365
437	0	380
438	0	395
439	0	410
440	0	425
441	0	440
442	0	455
443	0	470
444	0	485
445	0	500
446	0	518
447	0	536
448	0	554
449	0	572
450	0	590
451	0	608
452	0	626
453	0	644
454	0	662
455	0	680
456	0	700
457	0	720
458	0	740
459	0	760
460	0	780
461	0	800
462	0	820
463	0	840
464	0	860
465	0	880
466	0	902
467	0	924
468	0	946
469	0	968
470	0	990
471	0	1012
472	0	1034
473	0	1056
474	0	1078
475	0	1100
476	0	1125
477	0	1150
478	0	1175
479	0	1200
480	0	1225
481	0	1250
482	0	1275
483	0	1300
484	0	1325
485	0	1350
486	0	1380
487	0	1410
488	0	1440
489	0	1470
490	0	1500
491	0	1530
492	0	1560
493	0	1590
494	0	1620
495	0	2
496	0	4
497	0	6
498	0	10
499	0	14
500	0	20
501	0	26
502	0	34
503	0	42
504	0	50
505	0	58
506	0	66
507	0	74
508	0	82
509	0	90
510	0	98
511	0	106
512	0	114
513	0	122
514	0	130
515	0	140
516	0	150
517	0	160
518	0	170
519	0	180
520	0	190
521	0	200
522	0	210
523	0	220
524	0	230
525	0	242
526	0	254
527	0	266
528	0	278
529	0	290
530	0	302
531	0	314
532	0	326
533	0	338
534	0	350
535	0	365
536	0	380
537	0	395
538	0	410
539	0	425
540	0	440
541	0	455
542	0	470
543	0	485
544	0	500
545	0	518
546	0	536
547	0	554
548	0	572
549	0	590
550	0	608
551	0	626
552	0	644
553	0	662
554	0	680
555	0	700
556	0	720
557	0	740
558	0	760
559	0	780
560	0	800
561	0	820
562	0	840
563	0	860
564	0	880
565	0	902
566	0	924
567	0	946
568	0	968
569	0	990
570	0	1012
571	0	1034
572	0	1056
573	0	1078
574	0	1100
575	0	1125
576	0	1150
577	0	1175
578	0	1200
579	0	1225
580	0	1250
581	0	1275
582	0	1300
583	0	1325
584	0	1350
585	0	1380
586	0	1410
587	0	1440
588	0	1470
589	0	1500
590	0	1530
591	0	1560
592	0	1590
593	0	1620
594	2	0
595	4	0
596	6	0
597	10	0
598	14	0
599	20	0
600	26	0
601	34	0
602	42	0
603	50	0
604	58	0
605	66	0
606	74	0
607	82	0
608	90	0
609	98	0
610	106	0
611	114	0
612	122	0
613	130	0
614	140	0
615	150	0
616	160	0
617	170	0
618	180	0
619	190	0
620	200	0
621	210	0
622	220	0
623	230	0
624	242	0
625	254	0
626	266	0
627	278	0
628	290	0
629	302	0
630	314	0
631	326	0
632	338	0
633	350	0
634	365	0
635	380	0
636	395	0
637	410	0
638	425	0
639	440	0
640	455	0
641	470	0
642	485	0
643	500	0
644	518	0
645	536	0
646	554	0
647	572	0
648	590	0
649	608	0
650	626	0
651	644	0
652	662	0
653	680	0
654	700	0
655	720	0
656	740	0
657	760	0
658	780	0
659	800	0
660	820	0
661	840	0
662	860	0
663	880	0
664	902	0
665	924	0
666	946	0
667	968	0
668	990	0
669	1012	0
670	1034	0
671	1056	0
672	1078	0
673	1100	0
674	1125	0
675	1150	0
676	1175	0
677	1200	0
678	1225	0
679	1250	0
680	1275	0
681	1300	0
682	1325	0
683	1350	0
684	1380	0
685	1410	0
686	1440	0
687	1470	0
688	1500	0
689	1530	0
690	1560	0
691	1590	0
692	1620	0
