INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING
INDEX	QUALITY	ADDTYPE	LEVEL	addPorperty	needExp	cuijieExp	Icon	Name	Tips	Desc
38101001	1	1	1	2	10	3	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101002	1	1	2	4	55	13	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101003	1	1	3	6	130	68	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101004	1	1	4	8	230	198	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101005	1	1	5	10	360	428	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101006	1	1	6	12	525	788	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101007	1	1	7	14	715	1313	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101008	1	1	8	16	930	2028	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38101009	1	1	9	18	0	2958	ZhenYuan1_1	真元·勇力	装备原有#G力量#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102001	1	2	1	2	10	3	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102002	1	2	2	4	55	13	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102003	1	2	3	6	130	68	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102004	1	2	4	8	230	198	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102005	1	2	5	10	360	428	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102006	1	2	6	12	525	788	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102007	1	2	7	14	715	1313	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102008	1	2	8	16	930	2028	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38102009	1	2	9	18	0	2958	ZhenYuan1_6	真元·灵慧	装备原有#G灵气#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103001	1	3	1	2	10	3	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103002	1	3	2	4	55	13	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
