INT	INT	INT
ITEM1	NAME	ITEM2
38000600	真元·橙力符	38501001
38000601	真元·橙灵符	38502001
38000602	真元·橙定符	38504001
38000603	真元·橙敏符	38505001
38000604	真元·橙血符	38506001
38000605	真元·橙气符	38507001
38000606	真元·橙劲符	38508001
38000607	真元·橙罡符	38509001
38000608	真元·橙韧符	38510001
38000609	真元·橙坚符	38511001
38000610	真元·橙准符	38512001
38000611	真元·橙闪符	38513001
38000612	真元·橙暴符	38514001
38000613	真元·橙御符	38515001
38000614	真元·橙冰符	38516001
38000615	真元·橙火符	38517001
38000616	真元·橙玄符	38518001
38000617	真元·橙毒符	38519001
38000618	真元·橙力符	38501001
38000619	真元·橙灵符	38502001
38000620	真元·橙定符	38504001
38000621	真元·橙敏符	38505001
38000622	真元·橙血符	38506001
38000623	真元·橙气符	38507001
38000624	真元·橙劲符	38508001
38000625	真元·橙罡符	38509001
38000626	真元·橙韧符	38510001
38000627	真元·橙坚符	38511001
38000628	真元·橙准符	38512001
38000629	真元·橙闪符	38513001
38000630	真元·橙暴符	38514001
38000631	真元·橙御符	38515001
38000632	真元·橙冰符	38516001
38000633	真元·橙火符	38517001
38000634	真元·橙玄符	38518001
38000635	真元·橙毒符	38519001
38000636	真元·橙体符	38503001
38000637	真元·紫体符	38403001
38000694	真元·蓝力符	38301001
38000695	真元·蓝灵符	38302001
38000696	真元·蓝体符	38303001
38000697	真元·蓝定符	38304001
38000698	真元·蓝敏符	38305001
38000699	真元·蓝血符	38306001
38000700	真元·蓝气符	38307001
38000701	真元·蓝劲符	38308001
38000702	真元·蓝罡符	38309001
38000703	真元·蓝韧符	38310001
38000704	真元·蓝坚符	38311001
38000705	真元·蓝准符	38312001
38000706	真元·蓝闪符	38313001
38000707	真元·蓝暴符	38314001
38000708	真元·蓝御符	38315001
38000709	真元·蓝冰符	38316001
38000710	真元·蓝火符	38317001
38000711	真元·蓝玄符	38318001
38000712	真元·蓝毒符	38319001
38000732	真元·紫力符	38301001
38000733	真元·紫灵符	38302001
38000734	真元·紫体符	38303001
38000735	真元·紫定符	38304001
38000736	真元·紫敏符	38305001
38000737	真元·紫血符	38306001
38000738	真元·紫气符	38307001
38000739	真元·紫劲符	38308001
38000740	真元·紫罡符	38309001
38000741	真元·紫韧符	38310001
38000742	真元·紫坚符	38311001
38000743	真元·紫准符	38312001
38000744	真元·紫闪符	38313001
38000745	真元·紫暴符	38314001
38000746	真元·紫御符	38315001
38000747	真元·紫冰符	38316001
38000748	真元·紫火符	38317001
38000749	真元·紫玄符	38318001
38000750	真元·紫毒符	38319001
38000713	真元·蓝力符	38401001
38000714	真元·蓝灵符	38402001
38000715	真元·蓝体符	38403001
38000716	真元·蓝定符	38404001
38000717	真元·蓝敏符	38405001
38000718	真元·蓝血符	38406001
38000719	真元·蓝气符	38407001
38000720	真元·蓝劲符	38408001
38000721	真元·蓝罡符	38409001
38000722	真元·蓝韧符	38410001
38000723	真元·蓝坚符	38411001
38000724	真元·蓝准符	38412001
38000725	真元·蓝闪符	38413001
38000726	真元·蓝暴符	38414001
38000727	真元·蓝御符	38415001
38000728	真元·蓝冰符	38416001
38000729	真元·蓝火符	38417001
38000730	真元·蓝玄符	38418001
38000731	真元·蓝毒符	38419001
38000751	真元·紫力符	38401001
38000752	真元·紫灵符	38402001
38000753	真元·紫体符	38403001
38000754	真元·紫定符	38404001
38000755	真元·紫敏符	38405001
38000756	真元·紫血符	38406001
38000757	真元·紫气符	38407001
38000758	真元·紫劲符	38408001
38000759	真元·紫罡符	38409001
38000760	真元·紫韧符	38410001
38000761	真元·紫坚符	38411001
38000762	真元·紫准符	38412001
38000763	真元·紫闪符	38413001
38000764	真元·紫暴符	38414001
38000765	真元·紫御符	38415001
38000766	真元·紫冰符	38416001
38000767	真元·紫火符	38417001
38000768	真元·紫玄符	38418001
38000769	真元·紫毒符	38419001
