INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
Index	ShopId	ItemId	ÎïÆ·Ãû³Æ	ÊýÁ¿	Ô¤Áô	Ô¤Áô	ShopId	ÏûºÄÁ¿	Ô¤Áô
1	1	38002520	½õÁÛ»êÓñ	1	0	1	1	1	1
2	1	38002521	»Ãµû»êÓñ	1	0	1	1	1	1
3	1	38002522	Ëªº×»êÓñ	1	0	1	1	1	1
4	1	38002523	½ðÎÚ»êÓñ	1	0	1	1	1	1
5	1	38002524	Â¹Êñ»êÓñ	1	0	1	1	1	1
6	1	38002515	ÇàÁú»êÓñ	1	0	1	1	4	1
7	1	38002516	ÐþÎä»êÓñ	1	0	1	1	4	1
8	1	38002517	°×»¢»êÓñ	1	0	1	1	4	1
9	1	38002518	ÖìÈ¸»êÓñ	1	0	1	1	4	1
10	1	38002519	¾ÅÎ²»êÓñ	1	0	1	1	4	1
11	2	38002520	½õÁÛ»êÓñ	1	0	1	2	3	1
12	2	38002521	»Ãµû»êÓñ	1	0	1	2	3	1
13	2	38002522	Ëªº×»êÓñ	1	0	1	2	3	1
14	2	38002523	½ðÎÚ»êÓñ	1	0	1	2	3	1
15	2	38002524	Â¹Êñ»êÓñ	1	0	1	2	3	1
16	2	38002515	ÇàÁú»êÓñ	1	0	1	2	15	1
17	2	38002516	ÐþÎä»êÓñ	1	0	1	2	15	1
18	2	38002517	°×»¢»êÓñ	1	0	1	2	15	1
19	2	38002518	ÖìÈ¸»êÓñ	1	0	1	2	15	1
20	2	38002519	¾ÅÎ²»êÓñ	1	0	1	2	15	1
