INT	INT	STRING	INT	INT	INT
Index	dataId(珍兽ID)	Name(名称)	minPerception(最低资质)	maxPerception(最高资质)	Lv(携带等级)
1	3348	变异蛟龙	4888	4888	95
2	6798	变异唐僧	4888	4888	95
3	6868	变异蚀骨冥蛇	4888	4888	95
4	7568	变异鸭嘴兽	4888	4888	95
5	7638	变异雪狐	4888	4888	95
6	7708	变异龙猫	4888	4888	95
7	7778	变异犀鸟	4888	4888	95
8	7848	变异熊猫	4888	4888	95
9	7918	变异螃蟹	4888	4888	95
10	7988	变异蝴蝶	4888	4888	95
11	8058	变异蜗牛	4888	4888	95
12	8128	变异蝎子	4888	4888	95
13	8198	变异穿山甲	4888	4888	95
14	8268	变异大甲虫	4888	4888	95
15	8338	变异当扈	4888	4888	95
16	8408	变异海盗鼠	4888	4888	95
17	8478	变异宝箱童子	4888	4888	95
18	8548	变异树袋熊	4888	4888	95
19	8628	变异欢乐猪	4888	4888	95
20	8808	变异唐装鼠	4888	4888	95
21	8878	变异年兽	4888	4888	95
22	8948	变异鸳鸯	4888	4888	95
23	22068	变异穷奇	4888	4888	95
24	22138	变异小狐仙	4888	4888	95
25	22278	变异比翼鸟	4888	4888	95
26	22348	变异呆呆牛	4888	4888	95
27	22418	变异珍奇牛	4888	4888	95
28	22488	变异麒麟	4888	4888	95
29	22558	变异go仔	4888	4888	95
30	22578	变异神猿	4888	4888	95
31	22648	变异岩魂	4888	4888	95
32	22718	变异七夕鸳鸯	4888	4888	95
33	22788	变异废柴	4888	4888	95
34	22858	变异灵兔兽	4888	4888	95
35	22928	变异至尊神兽	4888	4888	95
36	23008	变异奶油火鸡	4888	4888	95
37	23108	变异花仙子	4888	4888	95
38	23178	变异驯鹿	4888	4888	95
39	23248	变异珍奇虎	4888	4888	95
40	23318	变异布老虎	4888	4888	95
41	23398	变异幼齿龙	4888	4888	95
42	23468	变异熊猫双侠	4888	4888	95
43	23628	变异蝶恋花	4888	4888	95
44	23698	变异傀儡狼	4888	4888	95
45	23778	变异五色神牛	4888	4888	95
46	23838	变异僵尸	4888	4888	95
47	23908	变异幽冥狼妖	4888	4888	95
48	23978	变异七巧狸猫	4888	4888	95
49	24048	变异小花妖	4888	4888	95
50	24118	变异玉鸾凤	4888	4888	95
51	24188	变异灵兔双杰	4888	4888	95
52	24258	变异蛮石怪	4888	4888	95
53	24328	变异精灵兔	4888	4888	95
54	24398	变异锦毛鼠	4888	4888	95
55	24578	变异百变猫	4888	4888	95
56	24658	变异狭路逢	4888	4888	95
57	24661	变异狭路逢·九幽	4888	4888	95
58	24738	变异安琪儿	4888	4888	95
59	24741	变异安琪儿·辉光	4888	4888	95
60	24818	变异巧巧	4888	4888	95
61	24821	变异巧巧·锦霞	4888	4888	95
62	24898	变异天命玄凤	4888	4888	95
63	24978	变异囚牛	4888	4888	95
64	25918	变异金童玉女	4888	4888	95
65	25988	变异黑山姥姥	4888	4888	95
66	25991	变异黑山姥姥·赴冰雪	4888	4888	95
67	27068	变异鼹鼠	4888	4888	95
68	27138	变异捣蛋鼠	4888	4888	95
69	27208	变异咩小萌	4888	4888	95
70	27288	变异美人鱼	4888	4888	95
71	27418	变异九黎妖虎	4888	4888	95
72	27488	变异烈兔甜心	4888	4888	95
73	27558	变异七彩辉骏	4888	4888	95
74	27561	变异七彩辉骏·璇星	4888	4888	95
75	27638	变异镇岛神兽	4888	4888	95
76	27708	变异鸾凤和鸣	4888	4888	95
77	27711	变异鸾凤和鸣·灵犀	4888	4888	95
78	27818	变异小鹿呦呦	4888	4888	95
79	27888	变异飓风圣兽	4888	4888	95
80	27891	变异飓风圣兽·琉彩	4888	4888	95
81	27998	变异灵巫月神	4888	4888	95
82	28011	变异灵巫月神·初见	4888	4888	95
83	28178	变异太苍龙子	4888	4888	95
84	28248	变异暴走熊猫	4888	4888	95
85	28318	变异萌音花灵	4888	4888	95
86	28398	变异小马哥	4888	4888	95
87	28468	变异百战金刚	4888	4888	95
88	28538	变异青羊真君	4888	4888	95
89	28608	变异羚天大圣	4888	4888	95
90	29448	变异憨逗熊	4888	4888	95
91	29528	变异人鱼公主	4888	4888	95
92	29608	变异战修罗	4888	4888	95
93	29678	变异邪灵	4888	4888	95
94	29748	变异狐妖剑君	4888	4888	95
95	29818	变异九霄战龙	4888	4888	95
96	29888	变异同心鸳鸯	4888	4888	95
97	29958	变异铁扇公主	4888	4888	95
98	30038	变异通臂猿猴	4888	4888	95
