INT	INT	INT	STRING	INT	STRING
索引	等级	神器ID	名称	神器ID	名称
1	86	10300400	赤焰九纹刀	10300006	赤焰九纹刀
2	86	10301400	斩忧断愁枪	10301000	斩忧断愁枪
3	86	10301401	弈天破邪杖	10301198	弈天破邪杖
4	86	10302400	含光弄影剑	10302006	含光弄影剑
5	86	10302401	万仞龙渊剑	10302008	万仞龙渊剑
6	86	10302402	星移无痕剑	10302010	星移无痕剑
7	86	10303400	转魂灭魄钩	10303000	转魂灭魄钩
8	86	10304400	雷鸣离火扇	10304006	雷鸣离火扇
9	86	10304401	雷鸣离火扇	10304008	雷鸣离火扇
10	86	10305400	碎情雾影环	10305006	碎情雾影环
11	86	10305401	天星耀阳环	10305008	天星耀阳环
12	96	10300402	赤焰九纹刀	10300007	赤焰九纹刀
13	96	10301404	斩忧断愁枪	10301001	斩忧断愁枪
14	96	10301405	弈天破邪杖	10301199	弈天破邪杖
15	96	10302406	含光弄影剑	10302007	含光弄影剑
16	96	10302407	万仞龙渊剑	10302009	万仞龙渊剑
17	96	10302408	星移无痕剑	10302011	星移无痕剑
18	96	10303402	转魂灭魄钩	10303001	转魂灭魄钩
19	96	10304404	雷鸣离火扇	10304007	雷鸣离火扇
20	96	10304405	雷鸣离火扇	10304009	雷鸣离火扇
21	96	10305404	碎情雾影环	10305007	碎情雾影环
22	96	10305405	天星耀阳环	10305009	天星耀阳环
23	102	10300404	大夏龙雀	10300103	大夏龙雀
24	102	10300405	大夏龙雀	10300104	大夏龙雀
25	102	10300406	大夏龙雀	10300105	大夏龙雀
26	102	10300407	大夏龙雀	10300106	大夏龙雀
27	102	10300408	大夏龙雀	10300107	大夏龙雀
28	102	10300409	大夏龙雀	10300108	大夏龙雀
29	102	10300410	大夏龙雀	10300109	大夏龙雀
30	102	10300411	大夏龙雀	10300110	大夏龙雀
31	102	10300412	大夏龙雀	10300111	大夏龙雀
32	102	10301408	大秦锋镝	10301103	大秦锋镝
33	102	10301409	大秦锋镝	10301104	大秦锋镝
34	102	10301410	大秦锋镝	10301105	大秦锋镝
35	102	10301411	大秦锋镝	10301106	大秦锋镝
36	102	10301412	大秦锋镝	10301107	大秦锋镝
37	102	10301413	大秦锋镝	10301108	大秦锋镝
38	102	10301414	大秦锋镝	10301109	大秦锋镝
39	102	10301415	大秦锋镝	10301110	大秦锋镝
40	102	10301416	大秦锋镝	10301111	大秦锋镝
41	102	10301417	大唐昆岳	10301203	大唐昆岳
42	102	10301418	大唐昆岳	10301204	大唐昆岳
43	102	10301419	大唐昆岳	10301205	大唐昆岳
44	102	10301420	大唐昆岳	10301206	大唐昆岳
45	102	10301421	大唐昆岳	10301207	大唐昆岳
46	102	10301422	大唐昆岳	10301208	大唐昆岳
47	102	10301423	大唐昆岳	10301209	大唐昆岳
48	102	10301424	大唐昆岳	10301210	大唐昆岳
49	102	10301425	大唐昆岳	10301211	大唐昆岳
50	102	10302412	大商尘影	10302103	大商尘影
