INT	INT	STRING	INT
INDEX	宝石ID	宝石名称	宝石评分
1	50101001	猫眼石(1级)	16
2	50101002	虎眼石(1级)	16
3	50102001	黄晶石(1级)	16
4	50102002	蓝晶石(1级)	16
5	50102003	红晶石(1级)	16
6	50102004	绿晶石(1级)	16
7	50102005	纯净黄晶石(1级)	21
8	50102006	纯净蓝晶石(1级)	21
9	50102007	纯净红晶石(1级)	21
10	50102008	纯净绿晶石(1级)	21
11	50103001	紫玉(1级)	16
12	50104002	变石(1级)	16
13	50111001	石榴石(1级)	16
14	50111002	尖晶石(1级)	16
15	50112001	黄玉(1级)	16
16	50112002	皓石(1级)	16
17	50112003	月光石(1级)	16
18	50112004	碧玺(1级)	16
19	50112005	纯净黄玉(1级)	21
20	50112006	纯净皓石(1级)	21
21	50112007	纯净月光石(1级)	21
22	50112008	纯净碧玺(1级)	21
23	50113001	黄宝石(1级)	16
24	50113002	蓝宝石(1级)	16
25	50113003	绿宝石(1级)	16
26	50113004	红宝石(1级)	16
27	50113005	黑宝石(1级)	16
28	50113006	血精石(1级)	17
29	50114001	祖母绿(1级)	16
30	50121001	黄冥石(1级)	68
31	50121002	蓝冥石(1级)	68
32	50121003	红冥石(1级)	68
33	50121004	绿冥石(1级)	68
34	50201001	猫眼石(2级)	84
35	50201002	虎眼石(2级)	84
36	50202001	黄晶石(2级)	84
37	50202002	蓝晶石(2级)	84
38	50202003	红晶石(2级)	84
39	50202004	绿晶石(2级)	84
40	50202005	纯净黄晶石(2级)	108
41	50202006	纯净蓝晶石(2级)	108
42	50202007	纯净红晶石(2级)	108
43	50202008	纯净绿晶石(2级)	108
44	50203001	紫玉(2级)	84
45	50204002	变石(2级)	84
46	50211001	石榴石(2级)	84
47	50211002	尖晶石(2级)	84
48	50212001	黄玉(2级)	84
49	50212002	皓石(2级)	84
50	50212003	月光石(2级)	84
51	50212004	碧玺(2级)	84
52	50212005	纯净黄玉(2级)	108
53	50212006	纯净皓石(2级)	108
54	50212007	纯净月光石(2级)	108
55	50212008	纯净碧玺(2级)	108
56	50213001	黄宝石(2级)	84
57	50213002	蓝宝石(2级)	84
58	50213003	绿宝石(2级)	84
59	50213004	红宝石(2级)	84
60	50213005	黑宝石(2级)	84
61	50213006	血精石(2级)	88
62	50214001	祖母绿(2级)	84
63	50221001	黄冥石(2级)	344
64	50221002	蓝冥石(2级)	344
65	50221003	红冥石(2级)	344
66	50221004	绿冥石(2级)	344
67	50301001	猫眼石(3级)	420
68	50301002	虎眼石(3级)	420
69	50301003	猫眼石·红利(3级)	420
70	50301004	虎眼石·红利(3级)	420
71	50302001	黄晶石(3级)	420
72	50302002	蓝晶石(3级)	420
73	50302003	红晶石(3级)	420
74	50302004	绿晶石(3级)	420
75	50302005	纯净黄晶石(3级)	540
76	50302006	纯净蓝晶石(3级)	540
77	50302007	纯净红晶石(3级)	540
78	50302008	纯净绿晶石(3级)	540
79	50302009	黄晶石·红利(3级)	420
80	50302010	蓝晶石·红利(3级)	420
81	50302011	红晶石·红利(3级)	420
82	50302012	绿晶石·红利(3级)	420
83	50302013	纯净黄晶石·红利(3级)	540
84	50302014	纯净蓝晶石·红利(3级)	540
85	50302015	纯净红晶石·红利(3级)	540
86	50302016	纯净绿晶石·红利(3级)	540
87	50303001	紫玉(3级)	420
88	50303002	紫玉·红利(3级)	420
89	50304002	变石(3级)	420
90	50304003	变石·红利(3级)	420
91	50311001	石榴石(3级)	420
92	50311002	尖晶石(3级)	420
93	50311003	石榴石·红利(3级)	420
94	50311004	尖晶石·红利(3级)	420
95	50312001	黄玉(3级)	420
96	50312002	皓石(3级)	420
97	50312003	月光石(3级)	420
98	50312004	碧玺(3级)	420
99	50312005	纯净黄玉(3级)	540
100	50312006	纯净皓石(3级)	540
101	50312007	纯净月光石(3级)	540
102	50312008	纯净碧玺(3级)	540
103	50312009	黄玉·红利(3级)	420
104	50312010	皓石·红利(3级)	420
105	50312011	月光石·红利(3级)	420
106	50312012	碧玺·红利(3级)	420
107	50312013	纯净黄玉·红利(3级)	540
108	50312014	纯净皓石·红利(3级)	540
109	50312015	纯净月光石·红利(3级)	540
110	50312016	纯净碧玺·红利(3级)	540
111	50313001	黄宝石(3级)	420
112	50313002	蓝宝石(3级)	420
113	50313003	绿宝石(3级)	420
114	50313004	红宝石(3级)	420
115	50313005	黑宝石(3级)	420
116	50313006	血精石(3级)	440
117	50313007	黄宝石·红利(3级)	420
118	50313008	蓝宝石·红利(3级)	420
119	50313009	绿宝石·红利(3级)	420
120	50313010	红宝石·红利(3级)	420
121	50313011	黑宝石·红利(3级)	420
122	50313012	血精石·红利(3级)	440
123	50314001	祖母绿(3级)	420
124	50314002	祖母绿·红利(3级)	420
125	50321001	黄冥石(3级)	1720
126	50321002	蓝冥石(3级)	1720
127	50321003	红冥石(3级)	1720
128	50321004	绿冥石(3级)	1720
129	50321005	黄冥石·红利(3级)	1720
130	50321006	蓝冥石·红利(3级)	1720
131	50321007	红冥石·红利(3级)	1720
132	50321008	绿冥石·红利(3级)	1720
133	50321101	黄冥晶石(3级·1级)	1804
134	50321102	黄冥晶石(3级·2级)	2152
135	50321103	黄冥晶石(3级·3级)	3880
136	50321104	黄冥晶石·红利(3级·1级)	1804
137	50321105	黄冥晶石·红利(3级·2级)	2152
138	50321106	黄冥晶石·红利(3级·3级)	3880
139	50321201	蓝冥晶石(3级·1级)	1804
140	50321202	蓝冥晶石(3级·2级)	2152
141	50321203	蓝冥晶石(3级·3级)	3880
142	50321204	蓝冥晶石·红利(3级·1级)	1804
143	50321205	蓝冥晶石·红利(3级·2级)	2152
144	50321206	蓝冥晶石·红利(3级·3级)	3880
145	50321301	红冥晶石(3级·1级)	1804
146	50321302	红冥晶石(3级·2级)	2152
147	50321303	红冥晶石(3级·3级)	3880
148	50321304	红冥晶石·红利(3级·1级)	1804
149	50321305	红冥晶石·红利(3级·2级)	2152
150	50321306	红冥晶石·红利(3级·3级)	3880
151	50321401	绿冥晶石(3级·1级)	1804
152	50321402	绿冥晶石(3级·2级)	2152
153	50321403	绿冥晶石(3级·3级)	3880
154	50321404	绿冥晶石·红利(3级·1级)	1804
155	50321405	绿冥晶石·红利(3级·2级)	2152
156	50321406	绿冥晶石·红利(3级·3级)	3880
157	50401001	猫眼石(4级)	2138
158	50401002	虎眼石(4级)	2138
159	50401003	猫眼石·红利(4级)	2138
160	50401004	虎眼石·红利(4级)	2138
161	50402001	黄晶石(4级)	2138
162	50402002	蓝晶石(4级)	2138
163	50402003	红晶石(4级)	2138
164	50402004	绿晶石(4级)	2138
165	50402005	纯净黄晶石(4级)	2338
166	50402006	纯净蓝晶石(4级)	2338
167	50402007	纯净红晶石(4级)	2338
168	50402008	纯净绿晶石(4级)	2338
169	50402009	黄晶石·红利(4级)	2138
170	50402010	蓝晶石·红利(4级)	2138
171	50402011	红晶石·红利(4级)	2138
172	50402012	绿晶石·红利(4级)	2138
173	50402013	纯净黄晶石·红利(4级)	2338
174	50402014	纯净蓝晶石·红利(4级)	2338
175	50402015	纯净红晶石·红利(4级)	2338
176	50402016	纯净绿晶石·红利(4级)	2338
177	50403001	紫玉(4级)	2138
178	50403002	紫玉·红利(4级)	2138
179	50404002	变石(4级)	2138
180	50404003	变石·红利(4级)	2138
181	50406001	猫眼石·分期(4级)	2138
182	50406002	虎眼石·分期(4级)	2138
183	50407005	纯净黄晶石·分期(4级)	2338
184	50407006	纯净蓝晶石·分期(4级)	2338
185	50407007	纯净红晶石·分期(4级)	2338
186	50407008	纯净绿晶石·分期(4级)	2338
187	50408001	紫玉·分期(4级)	2138
188	50409002	变石·分期(4级)	2138
189	50411001	石榴石(4级)	2138
190	50411002	尖晶石(4级)	2138
191	50411003	石榴石·红利(4级)	2138
192	50411004	尖晶石·红利(4级)	2138
193	50412001	黄玉(4级)	2138
194	50412002	皓石(4级)	2138
195	50412003	月光石(4级)	2138
196	50412004	碧玺(4级)	2138
197	50412005	纯净黄玉(4级)	2338
198	50412006	纯净皓石(4级)	2338
199	50412007	纯净月光石(4级)	2338
200	50412008	纯净碧玺(4级)	2338
201	50412009	黄玉·红利(4级)	2138
202	50412010	皓石·红利(4级)	2138
203	50412011	月光石·红利(4级)	2138
204	50412012	碧玺·红利(4级)	2138
205	50412013	纯净黄玉·红利(4级)	2338
206	50412014	纯净皓石·红利(4级)	2338
207	50412015	纯净月光石·红利(4级)	2338
208	50412016	纯净碧玺·红利(4级)	2338
209	50413001	黄宝石(4级)	2138
210	50413002	蓝宝石(4级)	2138
211	50413003	绿宝石(4级)	2138
212	50413004	红宝石(4级)	2138
213	50413005	黑宝石(4级)	2138
214	50413006	血精石(4级)	2238
215	50413007	黄宝石·红利(4级)	2138
216	50413008	蓝宝石·红利(4级)	2138
217	50413009	绿宝石·红利(4级)	2138
218	50413010	红宝石·红利(4级)	2138
219	50413011	黑宝石·红利(4级)	2138
220	50413012	血精石·红利(4级)	2238
221	50414001	祖母绿(4级)	2138
222	50414002	祖母绿·红利(4级)	2138
223	50416001	石榴石·分期(4级)	2138
224	50416002	尖晶石·分期(4级)	2138
225	50417005	纯净黄玉·分期(4级)	2338
226	50417006	纯净皓石·分期(4级)	2338
227	50417007	纯净月光石·分期(4级)	2338
228	50417008	纯净碧玺·分期(4级)	2338
229	50418001	黄宝石·分期(4级)	2138
230	50418002	蓝宝石·分期(4级)	2138
231	50418003	绿宝石·分期(4级)	2138
232	50418004	红宝石·分期(4级)	2138
233	50418005	黑宝石·分期(4级)	2138
234	50418006	血精石·分期(4级)	2238
235	50419001	祖母绿·分期(4级)	2138
236	50421001	黄冥石(4级)	7114
237	50421002	蓝冥石(4级)	7114
238	50421003	红冥石(4级)	7114
239	50421004	绿冥石(4级)	7114
240	50421005	黄冥石·红利(4级)	7114
241	50421006	蓝冥石·红利(4级)	7114
242	50421007	红冥石·红利(4级)	7114
243	50421008	绿冥石·红利(4级)	7114
244	50421101	黄冥晶石(4级·1级)	7198
245	50421102	黄冥晶石(4级·2级)	7546
246	50421103	黄冥晶石(4级·3级)	9274
247	50421104	黄冥晶石(4级·4级)	16466
248	50421105	黄冥晶石·红利(4级·1级)	7198
249	50421106	黄冥晶石·红利(4级·2级)	7546
250	50421107	黄冥晶石·红利(4级·3级)	9274
251	50421108	黄冥晶石·红利(4级·4级)	16466
252	50421201	蓝冥晶石(4级·1级)	7198
253	50421202	蓝冥晶石(4级·2级)	7546
254	50421203	蓝冥晶石(4级·3级)	9274
255	50421204	蓝冥晶石(4级·4级)	16466
256	50421205	蓝冥晶石·红利(4级·1级)	7198
257	50421206	蓝冥晶石·红利(4级·2级)	7546
258	50421207	蓝冥晶石·红利(4级·3级)	9274
259	50421208	蓝冥晶石·红利(4级·4级)	16466
260	50421301	红冥晶石(4级·1级)	7198
261	50421302	红冥晶石(4级·2级)	7546
262	50421303	红冥晶石(4级·3级)	9274
263	50421304	红冥晶石(4级·4级)	16466
264	50421305	红冥晶石·红利(4级·1级)	7198
265	50421306	红冥晶石·红利(4级·2级)	7546
266	50421307	红冥晶石·红利(4级·3级)	9274
267	50421308	红冥晶石·红利(4级·4级)	16466
268	50421401	绿冥晶石(4级·1级)	7198
269	50421402	绿冥晶石(4级·2级)	7546
270	50421403	绿冥晶石(4级·3级)	9274
271	50421404	绿冥晶石(4级·4级)	16466
272	50421405	绿冥晶石·红利(4级·1级)	7198
273	50421406	绿冥晶石·红利(4级·2级)	7546
274	50421407	绿冥晶石·红利(4级·3级)	9274
275	50421408	绿冥晶石·红利(4级·4级)	16466
276	50426001	黄冥石·分期(4级)	7114
277	50426002	蓝冥石·分期(4级)	7114
278	50426003	红冥石·分期(4级)	7114
279	50426004	绿冥石·分期(4级)	7114
280	50501001	猫眼石(5级)	11088
281	50501002	虎眼石(5级)	11088
282	50501003	猫眼石·红利(5级)	11088
283	50501004	虎眼石·红利(5级)	11088
284	50502001	黄晶石(5级)	11088
285	50502002	蓝晶石(5级)	11088
286	50502003	红晶石(5级)	11088
287	50502004	绿晶石(5级)	11088
288	50502005	纯净黄晶石(5级)	11448
289	50502006	纯净蓝晶石(5级)	11448
290	50502007	纯净红晶石(5级)	11448
291	50502008	纯净绿晶石(5级)	11448
292	50502009	黄晶石·红利(5级)	11088
293	50502010	蓝晶石·红利(5级)	11088
294	50502011	红晶石·红利(5级)	11088
295	50502012	绿晶石·红利(5级)	11088
296	50502013	纯净黄晶石·红利(5级)	11448
297	50502014	纯净蓝晶石·红利(5级)	11448
298	50502015	纯净红晶石·红利(5级)	11448
299	50502016	纯净绿晶石·红利(5级)	11448
300	50503001	紫玉(5级)	11088
301	50503002	紫玉·红利(5级)	11088
302	50504002	变石(5级)	11088
303	50504003	变石·红利(5级)	11088
304	50506001	猫眼石·分期(5级)	11088
305	50506002	虎眼石·分期(5级)	11088
306	50507005	纯净黄晶石·分期(5级)	11448
307	50507006	纯净蓝晶石·分期(5级)	11448
308	50507007	纯净红晶石·分期(5级)	11448
309	50507008	纯净绿晶石·分期(5级)	11448
310	50508001	紫玉·分期(5级)	11088
311	50509002	变石·分期(5级)	11088
312	50511001	石榴石(5级)	11088
313	50511002	尖晶石(5级)	11088
314	50511003	石榴石·红利(5级)	11088
315	50511004	尖晶石·红利(5级)	11088
316	50512001	黄玉(5级)	11088
317	50512002	皓石(5级)	11088
318	50512003	月光石(5级)	11088
319	50512004	碧玺(5级)	11088
320	50512005	纯净黄玉(5级)	11448
321	50512006	纯净皓石(5级)	11448
322	50512007	纯净月光石(5级)	11448
323	50512008	纯净碧玺(5级)	11448
324	50512009	黄玉·红利(5级)	11088
325	50512010	皓石·红利(5级)	11088
326	50512011	月光石·红利(5级)	11088
327	50512012	碧玺·红利(5级)	11088
328	50512013	纯净黄玉·红利(5级)	11448
329	50512014	纯净皓石·红利(5级)	11448
330	50512015	纯净月光石·红利(5级)	11448
331	50512016	纯净碧玺·红利(5级)	11448
332	50513001	黄宝石(5级)	11088
333	50513002	蓝宝石(5级)	11088
334	50513003	绿宝石(5级)	11088
335	50513004	红宝石(5级)	11088
336	50513005	黑宝石(5级)	11088
337	50513006	血精石(5级)	11588
338	50513007	黄宝石·红利(5级)	11088
339	50513008	蓝宝石·红利(5级)	11088
340	50513009	绿宝石·红利(5级)	11088
341	50513010	红宝石·红利(5级)	11088
342	50513011	黑宝石·红利(5级)	11088
343	50513012	血精石·红利(5级)	11588
344	50514001	祖母绿(5级)	11088
345	50514002	祖母绿·红利(5级)	11088
346	50516001	石榴石·分期(5级)	11088
347	50516002	尖晶石·分期(5级)	11088
348	50517005	纯净黄玉·分期(5级)	11448
349	50517006	纯净皓石·分期(5级)	11448
350	50517007	纯净月光石·分期(5级)	11448
351	50517008	纯净碧玺·分期(5级)	11448
352	50518001	黄宝石·分期(5级)	11088
353	50518002	蓝宝石·分期(5级)	11088
354	50518003	绿宝石·分期(5级)	11088
355	50518004	红宝石·分期(5级)	11088
356	50518005	黑宝石·分期(5级)	11088
357	50518006	血精石·分期(5级)	11588
358	50519001	祖母绿·分期(5级)	11088
359	50521001	黄冥石(5级)	34544
360	50521002	蓝冥石(5级)	34544
361	50521003	红冥石(5级)	34544
362	50521004	绿冥石(5级)	34544
363	50521005	黄冥石·红利(5级)	34544
364	50521006	蓝冥石·红利(5级)	34544
365	50521007	红冥石·红利(5级)	34544
366	50521008	绿冥石·红利(5级)	34544
367	50521101	黄冥晶石(5级·1级)	34628
368	50521102	黄冥晶石(5级·2级)	34976
369	50521103	黄冥晶石(5级·3级)	36704
370	50521104	黄冥晶石(5级·4级)	43896
371	50521105	黄冥晶石(5级·5级)	80336
372	50521106	黄冥晶石·红利(5级·1级)	34628
373	50521107	黄冥晶石·红利(5级·2级)	34976
374	50521108	黄冥晶石·红利(5级·3级)	36704
375	50521109	黄冥晶石·红利(5级·4级)	43896
376	50521110	黄冥晶石·红利(5级·5级)	80336
377	50521201	蓝冥晶石(5级·1级)	34628
378	50521202	蓝冥晶石(5级·2级)	34976
379	50521203	蓝冥晶石(5级·3级)	36704
380	50521204	蓝冥晶石(5级·4级)	43896
381	50521205	蓝冥晶石(5级·5级)	80336
382	50521206	蓝冥晶石·红利(5级·1级)	34628
383	50521207	蓝冥晶石·红利(5级·2级)	34976
384	50521208	蓝冥晶石·红利(5级·3级)	36704
385	50521209	蓝冥晶石·红利(5级·4级)	43896
386	50521210	蓝冥晶石·红利(5级·5级)	80336
387	50521301	红冥晶石(5级·1级)	34628
388	50521302	红冥晶石(5级·2级)	34976
389	50521303	红冥晶石(5级·3级)	36704
390	50521304	红冥晶石(5级·4级)	43896
391	50521305	红冥晶石(5级·5级)	80336
392	50521306	红冥晶石·红利(5级·1级)	34628
393	50521307	红冥晶石·红利(5级·2级)	34976
394	50521308	红冥晶石·红利(5级·3级)	36704
395	50521309	红冥晶石·红利(5级·4级)	43896
396	50521310	红冥晶石·红利(5级·5级)	80336
397	50521401	绿冥晶石(5级·1级)	34628
398	50521402	绿冥晶石(5级·2级)	34976
399	50521403	绿冥晶石(5级·3级)	36704
400	50521404	绿冥晶石(5级·4级)	43896
401	50521405	绿冥晶石(5级·5级)	80336
402	50521406	绿冥晶石·红利(5级·1级)	34628
403	50521407	绿冥晶石·红利(5级·2级)	34976
404	50521408	绿冥晶石·红利(5级·3级)	36704
405	50521409	绿冥晶石·红利(5级·4级)	43896
406	50521410	绿冥晶石·红利(5级·5级)	80336
407	50526001	黄冥石·分期(5级)	34544
408	50526002	蓝冥石·分期(5级)	34544
409	50526003	红冥石·分期(5级)	34544
410	50526004	绿冥石·分期(5级)	34544
411	50601001	猫眼石(6级)	48000
412	50601002	虎眼石(6级)	48000
413	50601003	猫眼石·红利(6级)	48000
414	50601004	虎眼石·红利(6级)	48000
415	50602001	黄晶石(6级)	48000
416	50602002	蓝晶石(6级)	48000
417	50602003	红晶石(6级)	48000
418	50602004	绿晶石(6级)	48000
419	50602005	纯净黄晶石(6级)	48600
420	50602006	纯净蓝晶石(6级)	48600
421	50602007	纯净红晶石(6级)	48600
422	50602008	纯净绿晶石(6级)	48600
423	50602009	黄晶石·红利(6级)	48000
424	50602010	蓝晶石·红利(6级)	48000
425	50602011	红晶石·红利(6级)	48000
426	50602012	绿晶石·红利(6级)	48000
427	50602013	纯净黄晶石·红利(6级)	48600
428	50602014	纯净蓝晶石·红利(6级)	48600
429	50602015	纯净红晶石·红利(6级)	48600
430	50602016	纯净绿晶石·红利(6级)	48600
431	50603001	紫玉(6级)	48000
432	50603002	紫玉·红利(6级)	48000
433	50604002	变石(6级)	48000
434	50604003	变石·红利(6级)	48000
435	50606001	猫眼石·分期(6级)	48000
436	50606002	虎眼石·分期(6级)	48000
437	50607005	纯净黄晶石·分期(6级)	48600
438	50607006	纯净蓝晶石·分期(6级)	48600
439	50607007	纯净红晶石·分期(6级)	48600
440	50607008	纯净绿晶石·分期(6级)	48600
441	50608001	紫玉·分期(6级)	48000
442	50609002	变石·分期(6级)	48000
443	50611001	石榴石(6级)	48000
444	50611002	尖晶石(6级)	48000
445	50611003	石榴石·红利(6级)	48000
446	50611004	尖晶石·红利(6级)	48000
447	50612001	黄玉(6级)	48000
448	50612002	皓石(6级)	48000
449	50612003	月光石(6级)	48000
450	50612004	碧玺(6级)	48000
451	50612005	纯净黄玉(6级)	48600
452	50612006	纯净皓石(6级)	48600
453	50612007	纯净月光石(6级)	48600
454	50612008	纯净碧玺(6级)	48600
455	50612009	黄玉·红利(6级)	48000
456	50612010	皓石·红利(6级)	48000
457	50612011	月光石·红利(6级)	48000
458	50612012	碧玺·红利(6级)	48000
459	50612013	纯净黄玉·红利(6级)	48600
460	50612014	纯净皓石·红利(6级)	48600
461	50612015	纯净月光石·红利(6级)	48600
462	50612016	纯净碧玺·红利(6级)	48600
463	50613001	黄宝石(6级)	48000
464	50613002	蓝宝石(6级)	48000
465	50613003	绿宝石(6级)	48000
466	50613004	红宝石(6级)	48000
467	50613005	黑宝石(6级)	48000
468	50613006	血精石(6级)	50000
469	50613007	黄宝石·红利(6级)	48000
470	50613008	蓝宝石·红利(6级)	48000
471	50613009	绿宝石·红利(6级)	48000
472	50613010	红宝石·红利(6级)	48000
473	50613011	黑宝石·红利(6级)	48000
474	50613012	血精石·红利(6级)	50000
475	50614001	祖母绿(6级)	48000
476	50614002	祖母绿·红利(6级)	48000
477	50616001	石榴石·分期(6级)	48000
478	50616002	尖晶石·分期(6级)	48000
479	50617005	纯净黄玉·分期(6级)	48600
480	50617006	纯净皓石·分期(6级)	48600
481	50617007	纯净月光石·分期(6级)	48600
482	50617008	纯净碧玺·分期(6级)	48600
483	50618001	黄宝石·分期(6级)	48000
484	50618002	蓝宝石·分期(6级)	48000
485	50618003	绿宝石·分期(6级)	48000
486	50618004	红宝石·分期(6级)	48000
487	50618005	黑宝石·分期(6级)	48000
488	50618006	血精石·分期(6级)	50000
489	50619001	祖母绿·分期(6级)	48000
490	50621001	黄冥石(6级)	146000
491	50621002	蓝冥石(6级)	146000
492	50621003	红冥石(6级)	146000
493	50621004	绿冥石(6级)	146000
494	50621005	黄冥石·红利(6级)	146000
495	50621006	蓝冥石·红利(6级)	146000
496	50621007	红冥石·红利(6级)	146000
497	50621008	绿冥石·红利(6级)	146000
498	50621101	黄冥晶石(6级·1级)	146084
499	50621102	黄冥晶石(6级·2级)	146432
500	50621103	黄冥晶石(6级·3级)	148160
