INT	INT	INT	STRING
INDEX	雕纹ID	雕纹评分	雕纹名称
1	30110001	480	饰品力量雕纹1级
2	30110002	550	饰品力量雕纹2级
3	30110003	865	饰品力量雕纹3级
4	30110004	2615	饰品力量雕纹4级
5	30110005	5660	饰品力量雕纹5级
6	30110006	11435	饰品力量雕纹6级
7	30110007	21375	饰品力量雕纹7级
8	30110008	49760	饰品力量雕纹8级
9	30110009	122840	饰品力量雕纹9级
10	30110010	247790	饰品力量雕纹10级
11	30110011	480	饰品灵气雕纹1级
12	30110012	550	饰品灵气雕纹2级
13	30110013	865	饰品灵气雕纹3级
14	30110014	2615	饰品灵气雕纹4级
15	30110015	5660	饰品灵气雕纹5级
16	30110016	11435	饰品灵气雕纹6级
17	30110017	21375	饰品灵气雕纹7级
18	30110018	49760	饰品灵气雕纹8级
19	30110019	122840	饰品灵气雕纹9级
20	30110020	247790	饰品灵气雕纹10级
21	30110021	480	饰品身法雕纹1级
22	30110022	550	饰品身法雕纹2级
23	30110023	865	饰品身法雕纹3级
24	30110024	2615	饰品身法雕纹4级
25	30110025	5660	饰品身法雕纹5级
26	30110026	11435	饰品身法雕纹6级
27	30110027	21375	饰品身法雕纹7级
28	30110028	49760	饰品身法雕纹8级
29	30110029	122840	饰品身法雕纹9级
30	30110030	247790	饰品身法雕纹10级
31	30110031	480	忘无雕纹1级
32	30110032	550	忘无雕纹2级
33	30110033	865	忘无雕纹3级
34	30110034	2615	忘无雕纹4级
35	30110035	5660	忘无雕纹5级
36	30110036	11435	忘无雕纹6级
37	30110037	21375	忘无雕纹7级
38	30110038	49760	忘无雕纹8级
39	30110039	122840	忘无雕纹9级
40	30110040	247790	忘无雕纹10级
41	30110041	480	冥想雕纹1级
42	30110042	550	冥想雕纹2级
43	30110043	865	冥想雕纹3级
44	30110044	2615	冥想雕纹4级
45	30110045	5660	冥想雕纹5级
46	30110046	11435	冥想雕纹6级
47	30110047	21375	冥想雕纹7级
48	30110048	49760	冥想雕纹8级
49	30110049	122840	冥想雕纹9级
50	30110050	247790	冥想雕纹10级
51	30110051	480	御劲雕纹1级
52	30110052	550	御劲雕纹2级
53	30110053	865	御劲雕纹3级
54	30110054	2615	御劲雕纹4级
55	30110055	5660	御劲雕纹5级
56	30110056	11435	御劲雕纹6级
57	30110057	21375	御劲雕纹7级
58	30110058	49760	御劲雕纹8级
59	30110059	122840	御劲雕纹9级
60	30110060	247790	御劲雕纹10级
61	30110061	480	暴怒雕纹1级
62	30110062	550	暴怒雕纹2级
63	30110063	865	暴怒雕纹3级
64	30110064	2615	暴怒雕纹4级
65	30110065	5660	暴怒雕纹5级
66	30110066	11435	暴怒雕纹6级
67	30110067	21375	暴怒雕纹7级
68	30110068	49760	暴怒雕纹8级
69	30110069	122840	暴怒雕纹9级
70	30110070	247790	暴怒雕纹10级
71	30110071	480	鞋子体力雕纹1级
72	30110072	550	鞋子体力雕纹2级
73	30110073	865	鞋子体力雕纹3级
74	30110074	2615	鞋子体力雕纹4级
75	30110075	5660	鞋子体力雕纹5级
76	30110076	11435	鞋子体力雕纹6级
77	30110077	21375	鞋子体力雕纹7级
78	30110078	49760	鞋子体力雕纹8级
79	30110079	122840	鞋子体力雕纹9级
80	30110080	247790	鞋子体力雕纹10级
81	30110081	480	鞋子定力雕纹1级
82	30110082	550	鞋子定力雕纹2级
83	30110083	865	鞋子定力雕纹3级
84	30110084	2615	鞋子定力雕纹4级
85	30110085	5660	鞋子定力雕纹5级
86	30110086	11435	鞋子定力雕纹6级
87	30110087	21375	鞋子定力雕纹7级
88	30110088	49760	鞋子定力雕纹8级
89	30110089	122840	鞋子定力雕纹9级
90	30110090	247790	鞋子定力雕纹10级
91	30110091	480	腰带体力雕纹1级
92	30110092	550	腰带体力雕纹2级
93	30110093	865	腰带体力雕纹3级
94	30110094	2615	腰带体力雕纹4级
95	30110095	5660	腰带体力雕纹5级
96	30110096	11435	腰带体力雕纹6级
97	30110097	21375	腰带体力雕纹7级
98	30110098	49760	腰带体力雕纹8级
99	30110099	122840	腰带体力雕纹9级
100	30110100	247790	腰带体力雕纹10级
101	30110101	480	腰带定力雕纹1级
102	30110102	550	腰带定力雕纹2级
103	30110103	865	腰带定力雕纹3级
104	30110104	2615	腰带定力雕纹4级
105	30110105	5660	腰带定力雕纹5级
106	30110106	11435	腰带定力雕纹6级
107	30110107	21375	腰带定力雕纹7级
108	30110108	49760	腰带定力雕纹8级
109	30110109	122840	腰带定力雕纹9级
110	30110110	247790	腰带定力雕纹10级
111	30110111	480	武器力量雕纹1级
112	30110112	550	武器力量雕纹2级
113	30110113	865	武器力量雕纹3级
114	30110114	2615	武器力量雕纹4级
115	30110115	5660	武器力量雕纹5级
116	30110116	11435	武器力量雕纹6级
117	30110117	21375	武器力量雕纹7级
118	30110118	49760	武器力量雕纹8级
119	30110119	122840	武器力量雕纹9级
120	30110120	247790	武器力量雕纹10级
121	30110121	480	武器灵气雕纹1级
122	30110122	550	武器灵气雕纹2级
123	30110123	865	武器灵气雕纹3级
124	30110124	2615	武器灵气雕纹4级
125	30110125	5660	武器灵气雕纹5级
126	30110126	11435	武器灵气雕纹6级
127	30110127	21375	武器灵气雕纹7级
128	30110128	49760	武器灵气雕纹8级
129	30110129	122840	武器灵气雕纹9级
130	30110130	247790	武器灵气雕纹10级
131	30110131	480	武器冰攻雕纹1级
132	30110132	550	武器冰攻雕纹2级
133	30110133	865	武器冰攻雕纹3级
134	30110134	2615	武器冰攻雕纹4级
135	30110135	5660	武器冰攻雕纹5级
136	30110136	11435	武器冰攻雕纹6级
137	30110137	21375	武器冰攻雕纹7级
138	30110138	49760	武器冰攻雕纹8级
