INT	INT	STRING	INT
INDEX	真元ID	真元名称	评分
1	101001	真元·勇力	17
2	101002	真元·勇力	27
3	101003	真元·勇力	82
4	101004	真元·勇力	212
5	101005	真元·勇力	442
6	101006	真元·勇力	802
7	101007	真元·勇力	1327
8	101008	真元·勇力	2042
9	101009	真元·勇力	2972
10	102001	真元·灵慧	17
11	102002	真元·灵慧	27
12	102003	真元·灵慧	82
13	102004	真元·灵慧	212
14	102005	真元·灵慧	442
15	102006	真元·灵慧	802
16	102007	真元·灵慧	1327
17	102008	真元·灵慧	2042
18	102009	真元·灵慧	2972
19	103001	真元·厚体	17
20	103002	真元·厚体	27
21	103003	真元·厚体	82
22	103004	真元·厚体	212
23	103005	真元·厚体	442
24	103006	真元·厚体	802
25	103007	真元·厚体	1327
26	103008	真元·厚体	2042
27	103009	真元·厚体	2972
28	104001	真元·气定	17
29	104002	真元·气定	27
30	104003	真元·气定	82
31	104004	真元·气定	212
32	104005	真元·气定	442
33	104006	真元·气定	802
34	104007	真元·气定	1327
35	104008	真元·气定	2042
36	104009	真元·气定	2972
37	105001	真元·迅捷	17
38	105002	真元·迅捷	27
39	105003	真元·迅捷	82
40	105004	真元·迅捷	212
41	105005	真元·迅捷	442
42	105006	真元·迅捷	802
43	105007	真元·迅捷	1327
44	105008	真元·迅捷	2042
45	105009	真元·迅捷	2972
46	106001	真元·血涌丹田	17
47	106002	真元·血涌丹田	27
48	106003	真元·血涌丹田	82
49	106004	真元·血涌丹田	212
50	106005	真元·血涌丹田	442
51	106006	真元·血涌丹田	802
52	106007	真元·血涌丹田	1327
53	106008	真元·血涌丹田	2042
54	106009	真元·血涌丹田	2972
55	107001	真元·气贯神庭	17
56	107002	真元·气贯神庭	27
57	107003	真元·气贯神庭	82
58	107004	真元·气贯神庭	212
59	107005	真元·气贯神庭	442
60	107006	真元·气贯神庭	802
61	107007	真元·气贯神庭	1327
62	107008	真元·气贯神庭	2042
63	107009	真元·气贯神庭	2972
64	108001	真元·内劲绵绵	17
65	108002	真元·内劲绵绵	27
66	108003	真元·内劲绵绵	82
67	108004	真元·内劲绵绵	212
68	108005	真元·内劲绵绵	442
69	108006	真元·内劲绵绵	802
70	108007	真元·内劲绵绵	1327
71	108008	真元·内劲绵绵	2042
72	108009	真元·内劲绵绵	2972
73	109001	真元·外功罡猛	17
74	109002	真元·外功罡猛	27
75	109003	真元·外功罡猛	82
76	109004	真元·外功罡猛	212
77	109005	真元·外功罡猛	442
78	109006	真元·外功罡猛	802
79	109007	真元·外功罡猛	1327
80	109008	真元·外功罡猛	2042
81	109009	真元·外功罡猛	2972
82	110001	真元·千转柔筋	17
83	110002	真元·千转柔筋	27
84	110003	真元·千转柔筋	82
85	110004	真元·千转柔筋	212
86	110005	真元·千转柔筋	442
87	110006	真元·千转柔筋	802
88	110007	真元·千转柔筋	1327
89	110008	真元·千转柔筋	2042
90	110009	真元·千转柔筋	2972
91	111001	真元·百炼铁骨	17
92	111002	真元·百炼铁骨	27
93	111003	真元·百炼铁骨	82
94	111004	真元·百炼铁骨	212
95	111005	真元·百炼铁骨	442
96	111006	真元·百炼铁骨	802
97	111007	真元·百炼铁骨	1327
98	111008	真元·百炼铁骨	2042
99	111009	真元·百炼铁骨	2972
100	112001	真元·百步穿杨	17
101	112002	真元·百步穿杨	27
102	112003	真元·百步穿杨	82
103	112004	真元·百步穿杨	212
104	112005	真元·百步穿杨	442
105	112006	真元·百步穿杨	802
106	112007	真元·百步穿杨	1327
107	112008	真元·百步穿杨	2042
108	112009	真元·百步穿杨	2972
109	113001	真元·滑不沾衣	17
110	113002	真元·滑不沾衣	27
111	113003	真元·滑不沾衣	82
112	113004	真元·滑不沾衣	212
113	113005	真元·滑不沾衣	442
114	113006	真元·滑不沾衣	802
115	113007	真元·滑不沾衣	1327
116	113008	真元·滑不沾衣	2042
117	113009	真元·滑不沾衣	2972
118	114001	真元·暴猛如焰	17
119	114002	真元·暴猛如焰	27
120	114003	真元·暴猛如焰	82
121	114004	真元·暴猛如焰	212
122	114005	真元·暴猛如焰	442
123	114006	真元·暴猛如焰	802
124	114007	真元·暴猛如焰	1327
125	114008	真元·暴猛如焰	2042
126	114009	真元·暴猛如焰	2972
127	115001	真元·坚韧如岳	17
128	115002	真元·坚韧如岳	27
129	115003	真元·坚韧如岳	82
130	115004	真元·坚韧如岳	212
131	115005	真元·坚韧如岳	442
132	115006	真元·坚韧如岳	802
133	115007	真元·坚韧如岳	1327
134	115008	真元·坚韧如岳	2042
135	115009	真元·坚韧如岳	2972
136	116001	真元·沉冰	17
137	116002	真元·沉冰	27
138	116003	真元·沉冰	82
139	116004	真元·沉冰	212
140	116005	真元·沉冰	442
141	116006	真元·沉冰	802
142	116007	真元·沉冰	1327
143	116008	真元·沉冰	2042
144	116009	真元·沉冰	2972
145	117001	真元·炽火	17
146	117002	真元·炽火	27
147	117003	真元·炽火	82
148	117004	真元·炽火	212
149	117005	真元·炽火	442
150	117006	真元·炽火	802
151	117007	真元·炽火	1327
152	117008	真元·炽火	2042
153	117009	真元·炽火	2972
154	118001	真元·印玄	17
155	118002	真元·印玄	27
156	118003	真元·印玄	82
157	118004	真元·印玄	212
158	118005	真元·印玄	442
159	118006	真元·印玄	802
160	118007	真元·印玄	1327
161	118008	真元·印玄	2042
162	118009	真元·印玄	2972
163	119001	真元·蛊毒	17
164	119002	真元·蛊毒	27
165	119003	真元·蛊毒	82
166	119004	真元·蛊毒	212
167	119005	真元·蛊毒	442
168	119006	真元·蛊毒	802
169	119007	真元·蛊毒	1327
170	119008	真元·蛊毒	2042
171	119009	真元·蛊毒	2972
172	151001	魂元·勇力	17
173	151002	魂元·勇力	27
174	151003	魂元·勇力	82
175	151004	魂元·勇力	212
176	151005	魂元·勇力	442
177	151006	魂元·勇力	802
178	151007	魂元·勇力	1327
179	151008	魂元·勇力	2042
180	151009	魂元·勇力	2972
181	152001	魂元·灵慧	17
182	152002	魂元·灵慧	27
183	152003	魂元·灵慧	82
184	152004	魂元·灵慧	212
185	152005	魂元·灵慧	442
186	152006	魂元·灵慧	802
187	152007	魂元·灵慧	1327
188	152008	魂元·灵慧	2042
189	152009	魂元·灵慧	2972
190	153001	魂元·厚体	17
191	153002	魂元·厚体	27
192	153003	魂元·厚体	82
193	153004	魂元·厚体	212
194	153005	魂元·厚体	442
