=== 40-50级装备列表 ===

【武器】(共130件)
编号	门派	品质	类型	名称	等级
10403014	1	橙	环	七宝双刀	40
10403024	1	橙	环	七宝双刀	40
10403034	1	橙	环	七宝双刀	40
10403044	1	橙	环	七宝双刀	40
10203014	1	蓝	环	三星峨嵋刺	40
10201004	1	蓝	枪棍	三股托天叉	40
10201014	1	蓝	枪棍	三股烈焰叉	40
10400004	1	橙	刀剑	亮银鸳鸯大斧	40
10400024	1	橙	刀剑	亮银鸳鸯大斧	40
10400044	1	橙	刀剑	亮银鸳鸯大斧	40
10200004	1	蓝	刀剑	八卦宣花斧	40
10401024	1	橙	枪棍	六合大枪	40
10401044	1	橙	枪棍	六合大枪	40
10102004	1	白	双短	冰弦剑	40
10203004	1	蓝	环	分水峨嵋刺	40
10202014	1	蓝	双短	吴钩剑	40
10205014	1	蓝	笔	天地金刚圈	40
10205004	1	蓝	笔	子母乌金环	40
10200014	1	蓝	刀剑	宝光车轮斧	40
10207003	1	蓝	伞	寒清镰	40
10103004	1	白	环	峨嵋刺	40
10100004	1	白	刀剑	开山钺	40
10105004	1	白	笔	拂香环	40
10206003	1	蓝	琴	昆山琴	40
10204004	1	蓝	锤	晶玉扇	40
10101004	1	白	枪棍	月牙戟	40
10106004	1	白	琴	杉木琴	40
10405004	1	橙	笔	栖霞奇环	40
10405024	1	橙	笔	栖霞奇环	40
10405044	1	橙	笔	栖霞奇环	40
10400014	1	橙	刀剑	梵日	40
10400034	1	橙	刀剑	梵日	40
10400054	1	橙	刀剑	梵日	40
10204014	1	蓝	锤	清心扇	40
10407400	1	橙	伞	狼人夜奔镰	40
10400064	1	橙	刀剑	狼人夺粮刀	40
10406400	1	橙	琴	狼人望月琴	40
10403065	1	橙	环	狼人牵羊剑	40
10401064	1	橙	枪棍	狼人赶猪枪	40
10404024	1	橙	锤	玉钢羽扇	40
10404044	1	橙	锤	玉钢羽扇	40
10206018	1	蓝	琴	琳琅琴	40
10107004	1	白	伞	窄扇镰	40
10207018	1	蓝	伞	薄情镰	40
10104004	1	白	锤	象牙扇	40
10202004	1	蓝	双短	越王刃	40
10402004	1	橙	双短	飞月长剑	40
10402024	1	橙	双短	飞月长剑	40
10402044	1	橙	双短	飞月长剑	40
10304000	1	紫	锤	万壑松风扇	42
10306000	1	紫	琴	幽篁漱玉琴	42
10307000	1	紫	伞	漆灯点花镰	42
10300000	1	紫	刀剑	熔金落日刀	42
10305000	1	紫	笔	碧海银涛环	42
10302000	1	紫	双短	秋水无痕剑	42
10405064	1	橙	笔	铁爪双环	45
10401065	1	橙	枪棍	吸水提炉枪	48
10200005	1	蓝	刀剑	九龙方便铲	50
10200015	1	蓝	刀剑	五行日月铲	50
10400005	1	橙	刀剑	五龙逐日大刀	50
10400025	1	橙	刀剑	五龙逐日大刀	50
10400045	1	橙	刀剑	五龙逐日大刀	50
10201005	1	蓝	枪棍	兽角点金枪	50
10403005	1	橙	环	凤尾双斧	50
10403015	1	橙	环	凤尾双斧	50
10403025	1	橙	环	凤尾双斧	50
10403035	1	橙	环	凤尾双斧	50
10403045	1	橙	环	凤尾双斧	50
10405005	1	橙	笔	寒冰奇环	50
10405025	1	橙	笔	寒冰奇环	50
10405045	1	橙	笔	寒冰奇环	50
10401015	1	橙	枪棍	寒炀	50
10401035	1	橙	枪棍	寒炀	50
10401055	1	橙	枪棍	寒炀	50
10205015	1	蓝	笔	摄星环	50
10203015	1	蓝	环	春秋双刀	50
10202005	1	蓝	双短	松纹古定刀	50
10404025	1	橙	锤	桃花羽扇	50
10404045	1	橙	锤	桃花羽扇	50
10106005	1	白	琴	樟木琴	50
10206004	1	蓝	琴	清籁琴	50
10101005	1	白	枪棍	火尖枪	50
10207004	1	蓝	伞	照月镰	50
10407001	1	橙	伞	燕侯·封	50
10403002	1	橙	环	燕侯·怒	50
10404002	1	橙	锤	燕侯·悟	50
10401002	1	橙	枪棍	燕侯·戮	50
10405001	1	橙	笔	燕侯·护	50
10406001	1	橙	琴	燕侯·泛	50
10401005	1	橙	枪棍	盘龙大枪	50
10401025	1	橙	枪棍	盘龙大枪	50
10401045	1	橙	枪棍	盘龙大枪	50
10204005	1	蓝	锤	碧云扇	50
10105005	1	白	笔	碧玉环	50
10103005	1	白	环	穿云剑	50
10102005	1	白	双短	精钢剑	50
10201015	1	蓝	枪棍	虎尾錾金枪	50
10205005	1	蓝	笔	逐日环	50
10100005	1	白	刀剑	金背刀	50
10204015	1	蓝	锤	铁骨扇	50
10104005	1	白	锤	镶玉扇	50
10207019	1	蓝	伞	长恨镰	50
10202015	1	蓝	双短	闭月羞光剑	50
10206019	1	蓝	琴	青丘琴	50
10400077	1	橙	刀剑	骠骑斩马刀	50
10404074	1	橙	锤	骠骑铁骨扇	50
10405073	1	橙	笔	骠骑银涛环	50
10402077	1	橙	双短	骠骑饮血剑	50
10107005	1	白	伞	齿刃镰	50
10203005	1	蓝	环	龙凤双剑	50
10402005	1	橙	双短	龙鳞长剑	50
10402025	1	橙	双短	龙鳞长剑	50
10402045	1	橙	双短	龙鳞长剑	50

【套装装备】(共114件, 30个套装)

套装编号: 3 - 金刚 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522003	1	绿	22	金刚指环	40
10512003	1	绿	护手	金刚散铁手	40
10514003	1	绿	护腕	金刚散铁腕	40

套装编号: 4 - 般若 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521004	1	绿	21	般若腰环	50
10515004	1	绿	护肩	般若银铁肩	50
10511004	1	绿	衣服	般若银铁鞋	50
10513004	1	绿	鞋子	般若银铁甲	50

套装编号: 15 - 怒焰 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10520013	1	绿	20	怒焰之链	40
10523013	1	绿	23	怒焰护符	40
10510013	1	绿	帽子	怒焰寒铁盔	40

套装编号: 16 - 地火 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521014	1	绿	21	地火腰带	50
10515014	1	绿	护肩	地火缘铁肩	50
10511014	1	绿	衣服	地火缘铁鞋	50
10513014	1	绿	鞋子	地火缘铁甲	50

套装编号: 27 - 龙战 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522023	1	绿	22	龙战指环	40
10510023	1	绿	帽子	龙战潜铁盔	40
10512023	1	绿	护手	龙战潜铁手	40

套装编号: 28 - 神龙 (4件套) [3件]
编号	门派	品质	类型	名称	等级
10520024	1	绿	20	神龙之碧	50
10523024	1	绿	23	神龙之寒	50
10513024	1	绿	鞋子	神龙魅铁甲	50

套装编号: 39 - 六合 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522033	1	绿	22	六合指环	40
10512033	1	绿	护手	六合丝麻手	40
10514033	1	绿	护腕	六合丝麻护腕	40

套装编号: 40 - 八卦 (4件套) [4件]
编号	门派	品质	类型	名称	等级
